layer,feature,description,cosine_similarity,max_act_approx,threshold,active,peak_position,peak_token,peak_activation,peak_fraction_of_reference_max,nonzero_positions
0,10565,ant sized or ant colony,0.6203521711792406,133.6768,8.629066467285156,False,,,0.0,0.0,[]
0,116858,ants,0.5823971032486035,60.8489,5.915187835693359,False,,,0.0,0.0,[]
0,126173,ant/ants,0.6333475557890057,53.7923,12.962814331054688,False,,,0.0,0.0,[]
0,139795,anti / ants,0.5913546039191951,51.9175,9.31536865234375,False,,,0.0,0.0,[]
0,170919,ant and ants,0.6457803767643483,78.1376,5.435752868652344,False,,,0.0,0.0,[]
0,210124,ant followed by specific endings,0.5903695070241043,74.7907,5.427486419677734,False,,,0.0,0.0,[]
0,252370,ant + suffix,0.5839468980550496,54.0261,5.70941162109375,False,,,0.0,0.0,[]
1,126667,ant species and colonies,0.733358435783475,39.9726,3.5053558349609375,False,,,0.0,0.0,[]
1,148260,ants,0.5824529719442507,30.832,4.0245819091796875,False,,,0.0,0.0,[]
1,157409,ants are,0.6241942354568171,28.0328,6.541751861572266,False,,,0.0,0.0,[]
1,194766,ants suffix,0.605868995813986,23.0745,8.648529052734375,False,,,0.0,0.0,[]
2,103168,ants,0.5823971032486035,39.8841,6.2409515380859375,False,,,0.0,0.0,[]
2,189795,ants,0.5824102994058722,45.7577,7.4879302978515625,False,,,0.0,0.0,[]
2,250061,ants can,0.592674093618916,42.3025,6.389675140380859,False,,,0.0,0.0,[]
3,29277,ants,0.5823971032486035,61.9348,10.943984985351562,False,,,0.0,0.0,[]
3,31634,ants are,0.624219078906268,47.2615,12.137237548828125,False,,,0.0,0.0,[]
3,62238,ants,0.582420066036598,98.0406,7.123821258544922,False,,,0.0,0.0,[]
3,84509,ant colony or colonies,0.6419491064270613,48.2204,5.753501892089844,False,,,0.0,0.0,[]
3,143003,ants,0.5824102994058722,52.0574,7.303112030029297,False,,,0.0,0.0,[]
3,185273,ant colony and infestation,0.61973135213629,41.9583,5.166843414306641,False,,,0.0,0.0,[]
4,36979,"Ants (formic acid, leafcutter, colony, reina)",0.6727213547275172,70.1751,8.585006713867188,False,,,0.0,0.0,[]
4,43155,ant and related words,0.5840582856734091,89.6184,8.093910217285156,False,,,0.0,0.0,[]
4,120321,ants,0.5824529719442507,92.5179,10.689666748046875,False,,,0.0,0.0,[]
4,121050,ants or ant colonies,0.6832391584916697,101.0009,7.683567047119141,False,,,0.0,0.0,[]
4,138679,ants are,0.6243205535188167,110.1729,11.804542541503906,False,,,0.0,0.0,[]
4,142379,ants,0.5824529719442507,71.1337,21.266830444335938,False,,,0.0,0.0,[]
4,202683,ant colonies,0.6738543023334901,110.3377,9.627853393554688,False,,,0.0,0.0,[]
5,19866,ants and termites,0.5946700263003077,238.9308,9.130653381347656,True,11, legs,69.35924530029297,0.29029009780360243,[11]
6,65837,ants are,0.624219078906268,113.731,11.65814208984375,False,,,0.0,0.0,[]
6,80018,ant colony or species,0.6688645704069663,120.7767,12.257286071777344,False,,,0.0,0.0,[]
6,213590,fact ants,0.6578440795519132,72.4211,12.613838195800781,False,,,0.0,0.0,[]
7,42685,"ants, ant colonies",0.6815277325770076,190.487,12.059738159179688,False,,,0.0,0.0,[]
7,48609,ants,0.5824529719442507,136.132,12.159523010253906,False,,,0.0,0.0,[]
7,68087,ants,0.5823971032486035,105.1217,16.5936279296875,False,,,0.0,0.0,[]
7,255476,"""ants"" ending",0.6261177990361477,156.2346,14.44573974609375,False,,,0.0,0.0,[]
8,34193,ant colonies,0.6737824502931575,262.2605,17.198257446289062,False,,,0.0,0.0,[]
8,94857,ants and termites,0.5947139845900897,116.2235,18.329833984375,False,,,0.0,0.0,[]
8,124993,ants carrying,0.6688641728668935,82.4264,22.6246337890625,False,,,0.0,0.0,[]
8,158774,ants and bugs,0.6181632782446911,140.5494,18.430816650390625,False,,,0.0,0.0,[]
9,227319,ants and termites,0.594670622421412,195.1156,20.840576171875,False,,,0.0,0.0,[]
12,203142,"ants, termites, locusts",0.5893266596553779,274.2247,46.2015380859375,False,,,0.0,0.0,[]
12,260546,ants are,0.624219078906268,299.8844,38.545562744140625,False,,,0.0,0.0,[]
13,4110,ants are,0.6243030871704609,499.3304,28.007492065429688,False,,,0.0,0.0,[]
13,73472,ants are,0.6242446300943619,227.3977,40.420745849609375,False,,,0.0,0.0,[]
14,97078,ants are,0.6243030871704609,133.5818,31.609207153320312,False,,,0.0,0.0,[]
15,8179,ants are,0.6242516419191605,142.3515,37.003509521484375,False,,,0.0,0.0,[]
15,151950,ants,0.5823971032486035,314.9908,39.646728515625,False,,,0.0,0.0,[]
15,161046,ants,0.5824529719442507,170.8658,42.826873779296875,False,,,0.0,0.0,[]
15,233390,ants and termites,0.594670622421412,246.5872,48.57061767578125,False,,,0.0,0.0,[]
17,182218,"ants, bees, and colony behaviors",0.6792297059625835,394.8524,65.5843505859375,False,,,0.0,0.0,[]
22,1703,ant agonist antarctic anticipate antenna,,3003.5374,76.20599365234375,False,,,0.0,0.0,[]
22,197021,"ANT, cannot, ant",,748.1075,134.7215576171875,False,,,0.0,0.0,[]
23,166240,Ant names,0.6249147670355754,853.2268,161.107666015625,False,,,0.0,0.0,[]
24,46773,say ants,0.6267653502876033,1111.8398,137.8099365234375,False,,,0.0,0.0,[]
25,30364,ants,0.5823971032486035,1460.5345,133.891357421875,False,,,0.0,0.0,[]
27,45749,ants,0.5824102994058722,2151.803,147.8663330078125,False,,,0.0,0.0,[]
27,190102,termites ants,0.5828277228908771,1810.2427,175.3553466796875,False,,,0.0,0.0,[]
27,248182,Ants,0.6002256842156187,1950.3706,149.5025634765625,False,,,0.0,0.0,[]
27,257698,ant and bee colonies,0.6414804360148666,1120.8093,182.20361328125,False,,,0.0,0.0,[]
28,10300,ants,0.5824529719442507,1057.0925,151.66455078125,False,,,0.0,0.0,[]
28,23070,ants and bees,0.60783005014291,2880.6086,154.2640380859375,False,,,0.0,0.0,[]
28,83436,ants,0.5824184048042234,1360.8445,172.3028564453125,False,,,0.0,0.0,[]
28,114102,"say ""ant"" words",0.5859424556608047,779.1532,215.27490234375,False,,,0.0,0.0,[]
28,153077,ants colony behavior,0.6458269549404189,2161.033,174.59130859375,False,,,0.0,0.0,[]
28,244531,Ants,0.6002791861087505,2393.5425,171.9971923828125,False,,,0.0,0.0,[]
29,76248,"say ""ant"" words",0.5858956005420074,1899.2854,127.416748046875,False,,,0.0,0.0,[]
29,87286,Ants,0.6002256842156187,1729.8815,143.5606689453125,False,,,0.0,0.0,[]
29,234128,ants,0.5824102994058722,2804.4248,159.0079345703125,False,,,0.0,0.0,[]
29,256407,ants,0.5824529719442507,1839.8455,168.1624755859375,True,13, a,581.93798828125,0.3162972044561622,"[12, 13, 16]"
30,47969,bee and ant colonies,0.618225334451648,2863.8396,174.02490234375,False,,,0.0,0.0,[]
30,74047,ants and,0.5956536261223901,1019.6051,192.8865966796875,False,,,0.0,0.0,[]
30,87281,"say ""ant"" words",0.5858956005420074,3223.8633,165.1766357421875,False,,,0.0,0.0,[]
30,115593,"say ""ant"" words",0.5859424556608047,1826.132,199.2740478515625,False,,,0.0,0.0,[]
30,153189,say ants,0.6267653502876033,2212.676,206.332275390625,False,,,0.0,0.0,[]
30,216268,ants,0.5824529719442507,2059.0417,200.39404296875,False,,,0.0,0.0,[]
31,15868,"say ""ant"" words",0.5858956005420074,2060.5347,170.0478515625,False,,,0.0,0.0,[]
31,53482,say ants,0.626654606090563,2622.6968,165.41455078125,False,,,0.0,0.0,[]
31,174853,ant colonies,0.6737198174203777,1217.499,210.8001708984375,False,,,0.0,0.0,[]
31,229598,ant words,0.5926065420657094,1820.0282,203.8291015625,False,,,0.0,0.0,[]
32,86176,"say ""ant"" word",0.5894807218158687,1490.4546,207.215576171875,False,,,0.0,0.0,[]
32,196603,"say ""ant"" words",0.5858956005420074,1881.9832,195.0389404296875,False,,,0.0,0.0,[]
33,196765,"say ""ant"" words",0.5859424556608047,2347.8989,378.4833984375,False,,,0.0,0.0,[]
