candidate_layer,candidate_feature_ids,candidate_factor,base_factor_l7,base_factor_l22,spider_suppression,candidate_current_activations,candidate_target_activations,candidate_delta_norm,total_delta_norm,delta_p_six_vs_base,delta_log_odds_vs_base,reaches_target_probability,success,top_token,top_probability,p_six,p_eight,p_four,log_p_six_minus_log_p_eight,top_tokens
24,[209073],0.0,4.0,4.0,1.0,[620.9161987304688],[620.9161987304688],0.0,7674.541511973184,0.0,0.0,False,True, Six,0.9522210955619812,0.9522210955619812,0.047408293932676315,0.0003194345918018371,3.0000000601875754,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9522210955619812}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.047408293932676315}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0003194345918018371}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.323077155277133e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.763650854831212e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.3054561804892728e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.3054561804892728e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.3054561804892728e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.917992093098292e-07}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.0715837106545223e-07}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.0618030655869006e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.0618030655869006e-08}]"
24,[209073],0.5,4.0,4.0,1.0,[620.9161987304688],[1127.8738098144531],506.9576416015625,7691.267351313298,-8.732080459594727e-05,-6.925247042488536e-10,False,True, Six,0.9521337747573853,0.9521337747573853,0.04740394651889801,0.00041012451401911676,3.0000000594950507,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9521337747573853}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.04740394651889801}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.00041012451401911676}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.32268061558716e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.7633975605567684e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.6760851622166228e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.6760851622166228e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.305336468249152e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.0165970252273837e-06}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.0714854425941667e-07}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 6.498887472616843e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 6.498887472616843e-08}]"
24,[209073],1.0,4.0,4.0,1.0,[620.9161987304688],[1634.8314208984375],1013.915283203125,7741.228043438103,0.010101795196533203,0.24999991839072333,False,True, Six,0.9623228907585144,0.9623228907585144,0.0373133085668087,0.0003228233545087278,3.2499999785782987,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9623228907585144}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.0373133085668087}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0003228233545087278}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.402533184271306e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.1751666281488724e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.3193052836868446e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.3193052836868446e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.0274760597894783e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 8.001991318451473e-07}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.0829517549382217e-07}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.115501977570602e-08}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.983956986530757e-08}]"
24,[209073],2.0,4.0,4.0,1.0,[620.9161987304688],[2648.7466430664062],2027.83056640625,7937.926947575868,-8.755922317504883e-05,-1.533878712933756e-08,False,True, Six,0.9521335363388062,0.9521335363388062,0.047403935343027115,0.0004101244267076254,3.0000000448487882,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9521335363388062}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.047403935343027115}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0004101244267076254}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.3226798879913986e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.763396878435742e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.6760848211561097e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.6760848211561097e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.3053362408754765e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.3053362408754765e-06}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.0714851583770724e-07}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 6.498886051531372e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 6.498886051531372e-08}]"
24,[209073],3.0,4.0,4.0,1.0,[620.9161987304688],[3662.661865234375],3041.745849609375,8255.350097519518,-0.012855827808380127,-0.2500000617966376,False,True, Six,0.9393652677536011,0.9393652677536011,0.06005161255598068,0.0005195482517592609,2.749999998390938,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9393652677536011}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.06005161255598068}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0005195482517592609}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 5.4759981139795855e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.7263392894383287e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.6536082512175199e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.6536082512175199e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.2878314237241284e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.0029640407083207e-06}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.0571163500117109e-07}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 6.411735142819452e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 6.411735142819452e-08}]"
24,[209073],4.0,4.0,4.0,1.0,[620.9161987304688],[4676.577087402344],4055.6611328125,8680.26351231376,-0.012749671936035156,-0.25000001910067704,False,True, Six,0.939471423625946,0.939471423625946,0.06005839630961418,0.0004046703106723726,2.7500000410868983,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.939471423625946}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.06005839630961418}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0004046703106723726}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 5.476616934174672e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.5010841656912817e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 2.1235148324194597e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.6537950386918965e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.6537950386918965e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.287976942876412e-06}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.0572357922455922e-07}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 6.412459185867192e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 6.412459185867192e-08}]"
26,[73903],0.0,4.0,4.0,1.0,[456.42315673828125],[456.42315673828125],0.0,7674.541511973184,0.0,0.0,False,True, Six,0.9522210955619812,0.9522210955619812,0.047408293932676315,0.0003194345918018371,3.0000000601875754,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9522210955619812}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.047408293932676315}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0003194345918018371}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.323077155277133e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.763650854831212e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.3054561804892728e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.3054561804892728e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.3054561804892728e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.917992093098292e-07}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.0715837106545223e-07}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.0618030655869006e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.0618030655869006e-08}]"
26,[73903],0.5,4.0,4.0,1.0,[456.42315673828125],[1081.6588134765625],625.2357177734375,7699.96799485422,0.010013580322265625,0.24999990109107406,False,True, Six,0.9622346758842468,0.9622346758842468,0.03730988875031471,0.0004144754202570766,3.2499999612786494,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9622346758842468}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.03730988875031471}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0004144754202570766}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.402221409487538e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.174967448809184e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.3191844345783466e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.3191844345783466e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.027381813401007e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 8.001258038348169e-07}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 8.43326404265099e-08}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.983591767564576e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.983591767564576e-08}]"
26,[73903],1.0,4.0,4.0,1.0,[456.42315673828125],[1706.8944702148438],1250.471435546875,7775.748596123612,0.010013580322265625,0.24999990109107406,False,True, Six,0.9622346758842468,0.9622346758842468,0.03730988875031471,0.0004144754202570766,3.2499999612786494,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9622346758842468}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.03730988875031471}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.0004144754202570766}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.402221409487538e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.174967448809184e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.3191844345783466e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.3191844345783466e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.027381813401007e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 8.001258038348169e-07}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 8.43326404265099e-08}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.1150330193650007e-08}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.983591767564576e-08}]"
26,[73903],2.0,4.0,4.0,1.0,[456.42315673828125],[2957.3657836914062],2500.94287109375,8071.759576664453,-8.732080459594727e-05,-6.925247042488536e-10,False,True, Six,0.9521337747573853,0.9521337747573853,0.04740394651889801,0.00041012451401911676,3.0000000594950507,"[{""token"": "" Six"", ""token_id"": 19759, ""probability"": 0.9521337747573853}, {""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.04740394651889801}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.00041012451401911676}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.32268061558716e-05}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.7633975605567684e-06}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.6760851622166228e-06}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.6760851622166228e-06}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.305336468249152e-06}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.0165970252273837e-06}, {""token"": ""Six"", ""token_id"": 44955, ""probability"": 1.37581452008817e-07}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 6.498887472616843e-08}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.061339081180449e-08}]"
