stages,scope,tested_layers,spider_suppression,ant_factor_L7,ant_factor_L22,ant_factor_L27,factor_l1,factor_l2,maximum_ant_factor,success,total_delta_norm,spider_feature_ids,spider_positions,spider_targets,ant_feature_ids,ant_positions,ant_targets,operation_delta_norms,top_token,top_probability,p_six,p_eight,p_four,log_p_six_minus_log_p_eight,top_tokens
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3101.801060975566,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 0.0, 0.0, 0.0]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 0.0, 0.0, 399.2951965332031, 432.93865966796875, 990.9597778320312, 1037.48974609375, 0.0]", Eight,0.9999935626983643,2.2603148863709066e-06,0.9999935626983643,3.726629074662924e-06,-12.99999998681067,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999935626983643}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 3.726629074662924e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.2603148863709066e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.927838179151877e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 9.23739040814553e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.3982459068937487e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905266275973986e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.581724916656981e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 3.581724916656981e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.581724916656981e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 2.789450059825782e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789450059825782e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,0.0,1.0,1.0,1.0,1.0,False,3242.4806301459203,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 0.0, 0.0, 944.727783203125]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 0.0, 0.0, 399.2951965332031, 432.93865966796875, 990.9597778320312, 1037.48974609375, 944.7279052734375]", Eight,0.999994158744812,1.7603360902285203e-06,0.999994158744812,3.7266313483996782e-06,-13.24999996551546,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999994158744812}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 3.7266313483996782e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.7603360902285203e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.0590052801926504e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 9.237395737216048e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.398248127339798e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.90526960664306e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.58172713710303e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.789451725160319e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 2.789451725160319e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789451725160319e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 2.789451725160319e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,0.0,2.0,2.0,2.0,2.0,False,3631.9709637989254,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 0.0, 0.0, 1889.45556640625]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 0.0, 0.0, 399.2951965332031, 432.93865966796875, 990.9597778320312, 1037.48974609375, 1889.455810546875]", Eight,0.9999943971633911,2.26031670536031e-06,0.9999943971633911,2.902304231611197e-06,-13.0000000165306,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999943971633911}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.902304231611197e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.26031670536031e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.9278415897570085e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1861053472728145e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.3982487934736127e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905270716866085e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.599029768126428e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 3.5817279697702986e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5817279697702986e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 3.5817279697702986e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.7894525578275875e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,0.0,3.0,3.0,3.0,3.0,False,4201.638545252413,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 0.0, 0.0, 2834.183349609375]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 0.0, 0.0, 399.2951965332031, 432.93865966796875, 990.9597778320312, 1037.48974609375, 2834.18359375]", Eight,0.9999934434890747,2.260314658997231e-06,0.9999934434890747,3.7266288472892484e-06,-12.999999968194416,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999934434890747}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 3.7266288472892484e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.260314658997231e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043443707108963e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.522988135604919e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.363434058518578e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582510175296875e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 5.905265165750961e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 4.5990253272343296e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.5990253272343296e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 3.5817243615454686e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.5817243615454686e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,1.0,0.0,1.0,1.0,1.0,False,3629.220265469353,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 1823.1155242919922, 360.43941497802734, 0.0]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 1823.11572265625, 360.4394226074219, 417.4990539550781, 434.1742858886719, 1043.3043212890625, 1024.8729248046875, 0.0]", Eight,0.9999920129776001,2.9022974104009336e-06,0.9999920129776001,4.78507945445017e-06,-12.749999937067562,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999920129776001}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 4.78507945445017e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.9022974104009336e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.9278322105928964e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1861025051018714e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.36342784126964e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582499628178141e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.599018943451938e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 4.599018943451938e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.599018943451938e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 3.581719365541858e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581719365541858e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,1.0,1.0,2.0,1.4142135623730951,1.0,False,3750.1667363326364,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 1823.1155242919922, 360.43941497802734, 944.727783203125]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 1823.11572265625, 360.4394226074219, 417.4990539550781, 434.1742858886719, 1043.3043212890625, 1024.8729248046875, 944.7279052734375]", Eight,0.9999929666519165,2.902300138885039e-06,0.9999929666519165,3.726627028299845e-06,-12.749999950637662,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999929666519165}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 3.726627028299845e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.902300138885039e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.9278359054151224e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.186103659733817e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.3982439084923044e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.9052623901934e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.5990231067882803e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.5817226962109316e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5817226962109316e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 3.5817226962109316e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 2.789448394491245e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,1.0,2.0,3.0,2.23606797749979,2.0,False,4091.6112957248015,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 1823.1155242919922, 360.43941497802734, 1889.45556640625]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 1823.11572265625, 360.4394226074219, 417.4990539550781, 434.1742858886719, 1043.3043212890625, 1024.8729248046875, 1889.455810546875]", Eight,0.9999911785125732,3.7266202070895815e-06,0.9999911785125732,4.785075361724012e-06,-12.50000002424851,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999911785125732}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 4.785075361724012e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 3.7266202070895815e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.927828799987765e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1861015281056098e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.363423844466752e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582493521951505e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 5.905251843074666e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905251843074666e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 4.599015057671352e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 3.58171631242854e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.58171631242854e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,1.0,3.0,4.0,3.1622776601683795,3.0,False,4604.762358512663,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 1823.1155242919922, 360.43941497802734, 2834.183349609375]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 1823.11572265625, 360.4394226074219, 417.4990539550781, 434.1742858886719, 1043.3043212890625, 1024.8729248046875, 2834.18359375]", Eight,0.9999897480010986,3.7266149774950463e-06,0.9999897480010986,6.144149210740579e-06,-12.499999997031999,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999897480010986}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 6.144149210740579e-06}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 3.7266149774950463e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.9278231156458787e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1860998405666123e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 4.363417627217814e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582482419721259e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905243516401981e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 5.905243516401981e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 4.599008396333204e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 4.599008396333204e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581711316424929e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,2.0,0.0,2.0,2.0,2.0,False,4831.429302573285,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 3646.2310485839844, 720.8788299560547, 0.0]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 3646.2314453125, 720.8788452148438, 390.2601623535156, 409.0282287597656, 1018.3231811523438, 977.5166625976562, 0.0]", Eight,0.9999873638153076,6.144134658825351e-06,0.9999873638153076,6.144134658825351e-06,-12.000000008968028,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999873638153076}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 6.144134658825351e-06}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 6.144134658825351e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.058984532344766e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1860969983956693e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 5.6027258388269274e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 9.736077499766793e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 5.905229638614173e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905229638614173e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 4.598997571658714e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 3.5817027121964884e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.5817027121964884e-10}]"
"[""triple_coarse""]",L7+L22+L27,"[7, 22, 27]",1.0,0.0,2.0,1.0,3.0,2.23606797749979,2.0,False,4922.927982488279,"[14209, 137239, 23422, 23422, 60476, 129426, 129426, 144881, 144881]","[16, 16, 16, 21, 16, 16, 21, 16, 21]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[42685, 1703, 197021, 248182]","[16, 16, 16, 16]","[0.0, 3646.2310485839844, 720.8788299560547, 944.727783203125]","[84.8398208618164, 133.32498168945312, 0.0, 1904.2620849609375, 1805.5799560546875, 551.9099731445312, 3646.2314453125, 720.8788452148438, 390.2601623535156, 409.0282287597656, 1018.3231811523438, 977.5166625976562, 944.7279052734375]", Eight,0.9999855756759644,7.889210792200174e-06,0.9999855756759644,6.14412374488893e-06,-11.750000030018505,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999855756759644}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 7.889210792200174e-06}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 6.14412374488893e-06}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 3.9278069152715034e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.522976056378411e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 7.194029372215027e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.2501348845006532e-09}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 7.582450778365057e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 5.905219091495439e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905219091495439e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 4.598989244986029e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 4.598989244986029e-10}]"
