condition,layer,position,prompt_token,contrast,positive_family,negative_family,log_probability_difference
clean,7,16,spinning,ant_minus_spider,ant,spider,-37.24997901916504
clean,7,16,spinning,insect_minus_spider,insect,spider,-18.498167037963867
clean,7,16,spinning,six_minus_eight,six,eight,-3.497100830078125
clean,22,16,spinning,ant_minus_spider,ant,spider,-56.511592864990234
clean,22,16,spinning,insect_minus_spider,insect,spider,-41.01068115234375
clean,22,16,spinning,six_minus_eight,six,eight,-2.71575927734375
clean,22,21,"
",ant_minus_spider,ant,spider,-48.25020217895508
clean,22,21,"
",insect_minus_spider,insect,spider,-31.50020408630371
clean,22,21,"
",six_minus_eight,six,eight,2.7915725708007812
L7_only,7,16,spinning,ant_minus_spider,ant,spider,-28.500011444091797
L7_only,7,16,spinning,insect_minus_spider,insect,spider,-16.244766235351562
L7_only,7,16,spinning,six_minus_eight,six,eight,-1.500762939453125
L7_only,22,16,spinning,ant_minus_spider,ant,spider,-39.580284118652344
L7_only,22,16,spinning,insect_minus_spider,insect,spider,-29.57994842529297
L7_only,22,16,spinning,six_minus_eight,six,eight,-4.5417938232421875
L7_only,22,21,"
",ant_minus_spider,ant,spider,-25.560462214052677
L7_only,22,21,"
",insect_minus_spider,insect,spider,-6.059287287294865
L7_only,22,21,"
",six_minus_eight,six,eight,3.087738037109375
L22_only,7,16,spinning,ant_minus_spider,ant,spider,-37.24997901916504
L22_only,7,16,spinning,insect_minus_spider,insect,spider,-18.498167037963867
L22_only,7,16,spinning,six_minus_eight,six,eight,-3.497100830078125
L22_only,22,16,spinning,ant_minus_spider,ant,spider,-10.079007506370544
L22_only,22,16,spinning,insect_minus_spider,insect,spider,-10.078911185264587
L22_only,22,16,spinning,six_minus_eight,six,eight,4.0070037841796875
L22_only,22,21,"
",ant_minus_spider,ant,spider,-33.250007748633834
L22_only,22,21,"
",insect_minus_spider,insect,spider,-12.500005841285201
L22_only,22,21,"
",six_minus_eight,six,eight,8.472999572753906
L7_L22,7,16,spinning,ant_minus_spider,ant,spider,-28.500011444091797
L7_L22,7,16,spinning,insect_minus_spider,insect,spider,-16.244766235351562
L7_L22,7,16,spinning,six_minus_eight,six,eight,-1.500762939453125
L7_L22,22,16,spinning,ant_minus_spider,ant,spider,-1.5299142897129059
L7_L22,22,16,spinning,insect_minus_spider,insect,spider,-6.529879003763199
L7_L22,22,16,spinning,six_minus_eight,six,eight,2.3964080810546875
L7_L22,22,21,"
",ant_minus_spider,ant,spider,-17.275074005126953
L7_L22,22,21,"
",insect_minus_spider,insect,spider,3.975854754447937
L7_L22,22,21,"
",six_minus_eight,six,eight,4.534614562988281
