comparison,before_condition,after_condition,layer,position,direction,rank,token_id,token,delta_logit
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,1,78929, Haiti,8.21875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,2,159319, Haitian,7.84375
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,3,210118, isra,7.671875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,4,23670, toe,7.609375
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,5,110240, dictator,7.34375
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,6,111372, Inca,7.296875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,7,104932, israel,7.15625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,8,128803, gorilla,7.0
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,9,130192, Mysore,6.984375
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,10,170093, esclav,6.953125
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,11,12307, Israel,6.90625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,12,71916,Sto,6.875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,13,186892,Ethiop,6.875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,14,50794, Palestinian,6.78125
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,15,52413, extinction,6.765625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,16,63272, ants,6.75
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,17,46619, insane,6.75
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,18,90847,Thai,6.71875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,19,232928,Alz,6.6875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,20,236773,S,6.6875
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,21,179481, synapse,6.65625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,22,190788, Ants,6.625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,23,34230,Continue,6.625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,24,62818,Israel,6.625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,25,110500,Singapore,6.625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,26,33722, Israeli,6.56640625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,27,36723, Venezuela,6.5625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,28,54876, Louisville,6.5625
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,29,152680, racking,6.53125
L7_P16_clean_to_full,clean,L7_L22,7,16,increase,30,227558, wou,6.5
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,1,167404, watercolour,-9.59375
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,2,99724, folklore,-8.625
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,3,212464, folklor,-8.4609375
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,4,177453, Hoyt,-8.125
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,5,176333, VFX,-8.0
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,6,60719, sketches,-8.0
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,7,53063, soundtrack,-7.9375
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,8,163474, musicals,-7.796875
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,9,76473,klore,-7.6875
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,10,223666, sketchbook,-7.6875
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,11,31633, watercolor,-7.625
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,12,78225,Watercolor,-7.625
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,13,171435, bpy,-7.53125
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,14,15583, guitar,-7.5234375
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,15,224014, Folklore,-7.4375
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,16,71253, Beatles,-7.421875
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,17,178937, Henson,-7.40625
L7_P16_clean_to_full,clean,L7_L22,7,16,decrease,18,188177, AudioManager,-7.40234375
