condition,layer,position,prompt_token,rank,token_id,token,logit,log_probability,probability,readable
clean,7,16,spinning,1,8455,"\""",98.5,-0.004989790264517069,0.9950226545333862,False
clean,7,16,spinning,2,255999,<start_of_image>,93.0,-5.5049896240234375,0.00406643096357584,False
clean,7,16,spinning,3,7339," \""",91.5,-7.0049896240234375,0.0009073433466255665,False
clean,7,16,spinning,4,63985,".\""",85.0,-13.504989624023438,1.3641355280924472e-06,False
clean,7,16,spinning,5,179255,"\"";",85.0,-13.504989624023438,1.3641355280924472e-06,False
clean,22,16,spinning,1,32261, spider,131.0,-0.0119492681697011,0.9881218671798706,True
clean,22,16,spinning,2,92664, spiders,126.5,-4.511949062347412,0.010977044701576233,True
clean,22,16,spinning,3,40046, Spider,124.0,-7.011949062347412,0.0009010506910271943,True
clean,22,16,spinning,4,86757,Spider,114.5,-16.51194953918457,6.744525649082789e-08,True
clean,22,16,spinning,5,48587,spider,111.0,-20.01194953918457,2.036670387894901e-09,True
clean,22,21,"
",1,92664, spiders,112.0,-0.00012385078298393637,0.9998761415481567,True
clean,22,21,"
",2,32261, spider,103.0,-9.000123977661133,0.00012339450768195093,True
clean,22,21,"
",3,48587,spider,97.5,-14.500123977661133,5.042851398684434e-07,True
clean,22,21,"
",4,86757,Spider,88.0,-24.000123977661133,3.7746666903260007e-11,True
clean,22,21,"
",5,40046, Spider,84.5,-27.500123977661133,1.1398504752915817e-12,True
L7_only,7,16,spinning,1,8455,"\""",106.0,-0.029794618487358093,0.9706448912620544,False
L7_only,7,16,spinning,2,255999,<start_of_image>,102.5,-3.529794692993164,0.029310932382941246,False
L7_only,7,16,spinning,3,7339," \""",96.0,-10.029794692993164,4.4067204726161435e-05,False
L7_only,7,16,spinning,4,179255,"\"";",90.0,-16.029794692993164,1.0923167792498134e-07,False
L7_only,7,16,spinning,5,63985,".\""",89.0,-17.029794692993164,4.018409072159557e-08,False
L7_only,22,16,spinning,1,32261, spider,118.0,-0.08028392493724823,0.9228543043136597,True
L7_only,22,16,spinning,2,92664, spiders,115.5,-2.5802838802337646,0.07575249671936035,True
L7_only,22,16,spinning,3,40046, Spider,111.5,-6.580284118652344,0.0013874550350010395,True
L7_only,22,16,spinning,4,86757,Spider,106.0,-12.080284118652344,5.670211521646706e-06,True
L7_only,22,16,spinning,5,48587,spider,100.5,-17.580284118652344,2.317285918707057e-08,True
L7_only,22,21,"
",1,92664, spiders,61.25,-0.1624625325202942,0.8500479459762573,True
L7_only,22,21,"
",2,218685, crustaceans,58.5,-2.9124624729156494,0.05434174835681915,True
L7_only,22,21,"
",3,149047, invertebrates,58.0,-3.4124624729156494,0.032959938049316406,True
L7_only,22,21,"
",4,32261, spider,57.75,-3.6624624729156494,0.025669224560260773,True
L7_only,22,21,"
",5,48587,spider,57.25,-4.1624627113342285,0.015569168142974377,True
L22_only,7,16,spinning,1,8455,"\""",98.5,-0.004989790264517069,0.9950226545333862,False
L22_only,7,16,spinning,2,255999,<start_of_image>,93.0,-5.5049896240234375,0.00406643096357584,False
L22_only,7,16,spinning,3,7339," \""",91.5,-7.0049896240234375,0.0009073433466255665,False
L22_only,7,16,spinning,4,63985,".\""",85.0,-13.504989624023438,1.3641355280924472e-06,False
L22_only,7,16,spinning,5,179255,"\"";",85.0,-13.504989624023438,1.3641355280924472e-06,False
L22_only,22,16,spinning,1,92664, spiders,78.5,-0.5813537240028381,0.5591409206390381,True
L22_only,22,16,spinning,2,191,</h1>,78.0,-1.0813536643981934,0.33913612365722656,False
L22_only,22,16,spinning,3,32261, spider,76.0,-3.0813536643981934,0.04589708521962166,True
L22_only,22,16,spinning,4,192,</h2>,75.5,-3.5813536643981934,0.02783798985183239,False
L22_only,22,16,spinning,5,207,</strong>,75.5,-3.5813536643981934,0.02783798985183239,False
L22_only,22,21,"
",1,92664, spiders,96.0,-9.894321920000948e-06,0.9999901056289673,True
L22_only,22,21,"
",2,32261, spider,84.0,-12.000009536743164,6.144153758214088e-06,True
L22_only,22,21,"
",3,30348, insects,83.5,-12.500009536743164,3.7266177059791517e-06,True
L22_only,22,21,"
",4,48587,spider,79.0,-17.000009536743164,4.1398983796625544e-08,True
L22_only,22,21,"
",5,103796, crabs,69.5,-26.500009536743164,3.0987896710438223e-12,True
L7_L22,7,16,spinning,1,8455,"\""",106.0,-0.029794618487358093,0.9706448912620544,False
L7_L22,7,16,spinning,2,255999,<start_of_image>,102.5,-3.529794692993164,0.029310932382941246,False
L7_L22,7,16,spinning,3,7339," \""",96.0,-10.029794692993164,4.4067204726161435e-05,False
L7_L22,7,16,spinning,4,179255,"\"";",90.0,-16.029794692993164,1.0923167792498134e-07,False
L7_L22,7,16,spinning,5,63985,".\""",89.0,-17.029794692993164,4.018409072159557e-08,False
L7_L22,22,16,spinning,1,92664, spiders,75.5,-0.3797907829284668,0.6840044856071472,True
L7_L22,22,16,spinning,2,63272, ants,74.5,-1.3797907829284668,0.2516312003135681,True
L7_L22,22,16,spinning,3,191,</h1>,72.5,-3.379790782928467,0.034054577350616455,False
L7_L22,22,16,spinning,4,32261, spider,72.0,-3.879790782928467,0.02065514586865902,True
L7_L22,22,16,spinning,5,192,</h2>,71.0,-4.879790782928467,0.00759860360994935,False
L7_L22,22,21,"
",1,149047, invertebrates,57.0,-0.945728063583374,0.388396680355072,True
L7_L22,22,21,"
",2,218685, crustaceans,56.75,-1.195728063583374,0.3024836480617523,True
L7_L22,22,21,"
",3,30348, insects,56.25,-1.695728063583374,0.1834656000137329,True
L7_L22,22,21,"
",4,133071, vertebrates,55.25,-2.695728063583374,0.06749322265386581,True
L7_L22,22,21,"
",5,226821, invertebrate,55.0,-2.945728063583374,0.05256377533078194,True
