layer,transport,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine,top5_token_overlap,clean_ant_minus_spider,edited_ant_minus_spider,clean_insect_minus_spider,edited_insect_minus_spider,clean_six_minus_eight,edited_six_minus_eight
22,published_jlens,360.716552734375,0.010746975125414534,0.9999420642852783,5,-2.599681854248047,-3.237335205078125,-7.100284576416016,-7.612876892089844,1.3395538330078125,1.5895538330078125
23,published_jlens,505.41357421875,0.01476936893436616,0.9999184012413025,4,-7.386148452758789,-7.75731086730957,-7.268148422241211,-7.330648422241211,2.311412811279297,2.2597389221191406
24,published_jlens,583.4526977539062,0.016719167240710785,0.9998856782913208,5,-12.712547302246094,-12.411090850830078,-15.475421905517578,-15.30051040649414,0.34278106689453125,-0.0167236328125
25,published_jlens,711.8294067382812,0.01865324525480753,0.9998454451560974,5,-11.60013198852539,-11.075759887695312,-16.788440704345703,-16.76425552368164,0.738006591796875,0.7531204223632812
26,published_jlens,886.1964111328125,0.02066083529081875,0.9997978210449219,5,-13.333036422729492,-13.363639831542969,-16.916040420532227,-17.5069580078125,1.1419219970703125,0.9796524047851562
27,published_jlens,1094.1380615234375,0.023170538103712432,0.9997403025627136,5,-16.639888763427734,-16.014122009277344,-21.037235260009766,-21.186336517333984,5.640678405761719,5.854373931884766
28,published_jlens,1393.1983642578125,0.024367311402404848,0.9997093677520752,5,-17.000969886779785,-16.94819927215576,-20.08870029449463,-20.60719394683838,2.0036277770996094,1.5662269592285156
29,published_jlens,1691.1942138671875,0.02880458229582808,0.9995901584625244,4,-12.795265197753906,-13.292232513427734,-12.459962844848633,-14.236618041992188,2.104124069213867,2.307941436767578
30,published_jlens,2437.4345703125,0.045079045772353374,0.9990510940551758,4,-20.248892784118652,-16.167441368103027,-13.446654319763184,-12.328654289245605,-2.0435409545898438,-1.7767601013183594
31,published_jlens,2657.60693359375,0.04950249023188807,0.9987912178039551,5,-15.117277145385742,-11.422243118286133,-19.420949935913086,-18.184083938598633,-2.3672542572021484,-1.9667072296142578
32,published_jlens,3517.45849609375,0.06427074879146541,0.9979327917098999,3,-7.866743087768555,-5.683200836181641,-12.294872283935547,-12.359041213989258,-1.3289222717285156,1.1069183349609375
33,identity_final,4980.2978515625,0.14673515731584452,0.9903070330619812,3,-8.016685485839844,-5.408382415771484,-6.863521575927734,-5.1912078857421875,1.4421195983886719,2.7306137084960938
