condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,22,1,1,92664, spiders,-0.00012385078298393637,0.9998761415481567
clean,22,2,2,32261, spider,-9.000123977661133,0.00012339450768195093
clean,22,3,3,48587,spider,-14.500123977661133,5.042851398684434e-07
clean,22,4,4,86757,Spider,-24.000123977661133,3.7746666903260007e-11
clean,22,5,5,40046, Spider,-27.500123977661133,1.1398504752915817e-12
clean,23,1,1,92664, spiders,-6.198863957251888e-06,0.9999938011169434
clean,23,2,2,32261, spider,-12.000005722045898,6.144177405076334e-06
clean,23,3,3,48587,spider,-16.5000057220459,6.8255644691817e-08
clean,23,4,4,86757,Spider,-30.5000057220459,5.675652683294688e-14
clean,23,5,5,30348, insects,-32.50000762939453,7.68114633448733e-15
clean,24,1,1,92664, spiders,-2.264974000354414e-06,0.9999977350234985
clean,24,2,2,32261, spider,-13.000001907348633,2.2603251181863016e-06
clean,24,3,3,48587,spider,-22.500001907348633,1.6918946799115986e-10
clean,24,4,4,30348, insects,-26.500001907348633,3.0988133066511825e-12
clean,24,5,5,86757,Spider,-39.500003814697266,7.004325544721398e-18
clean,25,1,1,92664, spiders,-0.0015023384476080537,0.998498797416687
clean,25,2,2,32261, spider,-6.501502513885498,0.001501181977801025
clean,25,3,3,30348, insects,-17.501502990722656,2.5072280251947632e-08
clean,25,4,4,48587,spider,-18.001502990722656,1.520710668501124e-08
clean,25,5,5,86757,Spider,-27.501502990722656,1.138279791604302e-12
clean,26,1,1,92664, spiders,-0.07889018952846527,0.9241414070129395
clean,26,2,2,32261, spider,-2.578890085220337,0.07585815340280533
clean,26,3,3,48587,spider,-14.578889846801758,4.660887213958631e-07
clean,26,4,4,40046, Spider,-18.578889846801758,8.536712670093038e-09
clean,26,5,5,30348, insects,-19.078889846801758,5.177777762099822e-09
clean,27,1,1,32261, spider,-0.6931502819061279,0.49999845027923584
clean,27,2,2,92664, spiders,-0.6931502819061279,0.49999845027923584
clean,27,3,3,48587,spider,-13.193150520324707,1.8633203353601857e-06
clean,27,4,4,40046, Spider,-13.693150520324707,1.1301609674774227e-06
clean,27,5,5,86757,Spider,-16.69314956665039,5.626745291920088e-08
clean,28,1,1,32261, spider,-0.3136349320411682,0.7307857871055603
clean,28,2,2,92664, spiders,-1.3136348724365234,0.26884108781814575
clean,28,3,3,40046, Spider,-8.313634872436523,0.000245151313720271
clean,28,4,4,48587,spider,-9.063634872436523,0.00011580128921195865
clean,28,5,5,86757,Spider,-11.313634872436523,1.2205366147099994e-05
clean,29,1,1,32261, spider,-0.16648608446121216,0.8466346263885498
clean,29,2,2,92664, spiders,-1.9164860248565674,0.1471230387687683
clean,29,3,3,40046, Spider,-5.1664862632751465,0.005704578012228012
clean,29,4,4,48587,spider,-7.9164862632751465,0.00036468147300183773
clean,29,5,5,86757,Spider,-8.666485786437988,0.000172263418789953
clean,30,1,1,32261, spider,-0.2165394425392151,0.805300772190094
clean,30,2,2,92664, spiders,-1.7165393829345703,0.17968690395355225
clean,30,3,3,40046, Spider,-4.84153938293457,0.007894891314208508
clean,30,4,4,48587,spider,-5.34153938293457,0.004788493737578392
clean,30,5,5,86757,Spider,-6.09153938293457,0.002261924324557185
clean,31,1,1,32261, spider,-0.6145144104957581,0.5409035086631775
clean,31,2,2,92664, spiders,-1.3645143508911133,0.2555047273635864
clean,31,3,3,6589, eight,-1.8645143508911133,0.15497145056724548
clean,31,4,4,40046, Spider,-3.2395143508911133,0.03918292000889778
clean,31,5,5,48587,spider,-5.489514350891113,0.004129849374294281
clean,32,1,1,32261, spider,-0.6056351661682129,0.5457276701927185
clean,32,2,2,48587,spider,-2.105635166168213,0.12176830321550369
clean,32,3,3,92664, spiders,-2.730635166168213,0.06517788022756577
clean,32,4,4,40046, Spider,-2.730635166168213,0.06517788022756577
clean,32,5,5,86757,Spider,-2.980635166168213,0.05076058208942413
clean,33,1,4,48587,spider,-9.004673957824707,0.00012283433170523494
clean,33,2,7,86757,Spider,-10.504673957824707,2.7408044843468815e-05
