condition,layer,position,prompt_token,rank,token_id,token,logit,log_probability,probability,readable
clean,7,16,spinning,1,8455,"\""",98.0,-0.007625163532793522,0.9924038648605347,False
clean,7,16,spinning,2,255999,<start_of_image>,93.0,-5.007625102996826,0.006686764769256115,False
clean,7,16,spinning,3,7339," \""",91.0,-7.007625102996826,0.0009049552027136087,False
clean,7,16,spinning,4,179255,"\"";",85.0,-13.007625579833984,2.243158633064013e-06,False
clean,7,16,spinning,5,63985,".\""",84.5,-13.507625579833984,1.3605445019493345e-06,False
clean,7,16,spinning,6,207,</strong>,84.0,-14.007625579833984,8.252119414464687e-07,False
clean,7,16,spinning,7,158103,"\"".",79.5,-18.507625579833984,9.167276715515982e-09,False
clean,7,16,spinning,8,84252,",\""",79.0,-19.007625579833984,5.560234495050054e-09,False
clean,7,16,spinning,9,191,</h1>,76.0,-22.007625579833984,2.768277551634668e-10,False
clean,7,16,spinning,10,46352,"\"">",75.5,-22.507625579833984,1.6790452361803432e-10,False
clean,7,16,spinning,11,208652,"\"""");",75.5,-22.507625579833984,1.6790452361803432e-10,False
clean,7,16,spinning,12,155319,"\""{",73.5,-24.507625579833984,2.2723406489788545e-11,False
clean,7,16,spinning,13,86757,Spider,69.5,-28.507625579833984,4.1619371794407445e-13,True
clean,7,16,spinning,14,97563,"\"":\""",69.5,-28.507625579833984,4.1619371794407445e-13,False
clean,7,16,spinning,15,159842, \...,69.5,-28.507625579833984,4.1619371794407445e-13,False
clean,7,16,spinning,16,227,</a>,69.0,-29.007625579833984,2.5243424971871375e-13,False
clean,7,16,spinning,17,181046," (\""",68.0,-30.007625579833984,9.286537196780825e-14,False
clean,7,16,spinning,18,50416,"\"":",68.0,-30.007625579833984,9.286537196780825e-14,False
clean,7,16,spinning,19,144552,\@,67.0,-31.007625579833984,3.416326127699508e-14,False
clean,7,16,spinning,20,160830,"\"")",66.0,-32.007625579833984,1.2567961469168824e-14,False
clean,7,16,spinning,21,123362,"\""\",65.0,-33.007625579833984,4.623494614236761e-15,False
clean,7,16,spinning,22,67619,Spin,64.5,-33.507625579833984,2.804291248474362e-15,True
clean,7,16,spinning,23,248339,🕷,64.5,-33.507625579833984,2.804291248474362e-15,False
clean,7,16,spinning,24,157684,}}$$,64.5,-33.507625579833984,2.804291248474362e-15,False
clean,7,16,spinning,25,72840,"}"";",63.5,-34.507625579833984,1.0316410252512965e-15,False
clean,7,16,spinning,26,194,</h4>,62.75,-35.257625579833984,4.873127188132983e-16,False
clean,7,16,spinning,27,249940,🕸,62.5,-35.507625579833984,3.795195441737325e-16,False
clean,7,16,spinning,28,194848,Insect,62.0,-36.007625579833984,2.301902296112003e-16,True
clean,7,16,spinning,29,176500,"\"">\",60.75,-37.257625579833984,6.595060731304046e-17,False
clean,7,16,spinning,30,22233,"=\""",59.75,-38.257625579833984,2.4261872419392794e-17,False
clean,22,16,spinning,1,32261, spider,131.0,-0.011594647541642189,0.9884722828865051,True
clean,22,16,spinning,2,92664, spiders,126.5,-4.511594772338867,0.010980933904647827,True
clean,22,16,spinning,3,40046, Spider,123.5,-7.511594772338867,0.0005467085284180939,True
clean,22,16,spinning,4,86757,Spider,114.0,-17.011594772338867,4.092213146122958e-08,True
clean,22,16,spinning,5,48587,spider,110.5,-20.511594772338867,1.235741287075598e-09,True
clean,22,16,spinning,6,30348, insects,90.0,-41.011592864990234,1.54486856819333e-18,True
clean,22,16,spinning,7,182236,蜘蛛,88.5,-42.511592864990234,3.4470676321797803e-19,False
clean,22,16,spinning,8,134588, arach,86.5,-44.511592864990234,4.6650986451119e-20,True
clean,22,16,spinning,9,103796, crabs,86.5,-44.511592864990234,4.6650986451119e-20,True
clean,22,16,spinning,10,16368, insect,83.0,-48.011592864990234,1.408737757611194e-21,True
clean,22,16,spinning,11,212571, Arach,82.5,-48.511592864990234,8.544426356955072e-22,True
clean,22,16,spinning,12,248339,🕷,81.0,-50.011592864990234,1.9065191619558862e-22,False
clean,22,16,spinning,13,161925, arthrop,81.0,-50.011592864990234,1.9065191619558862e-22,True
clean,22,16,spinning,14,195052, wasps,80.5,-50.511592864990234,1.156362297099914e-22,True
clean,22,16,spinning,15,43695, crab,80.0,-51.011592864990234,7.013692257471632e-23,True
clean,22,16,spinning,16,193663, Insects,79.0,-52.011592864990234,2.5801931537058587e-23,True
clean,22,16,spinning,17,65705, octopus,79.0,-52.011592864990234,2.5801931537058587e-23,True
clean,22,16,spinning,18,56101, spinner,78.5,-52.511592864990234,1.564966245148962e-23,True
clean,22,16,spinning,19,61690, Silk,78.0,-53.011592864990234,9.492000396508033e-24,True
clean,22,16,spinning,20,27373, silk,77.5,-53.511592864990234,5.75718932226754e-24,True
clean,22,16,spinning,21,185454, dragonfly,76.5,-54.511592864990234,2.11795150770774e-24,True
clean,22,16,spinning,22,216702, caterpillars,76.5,-54.511592864990234,2.11795150770774e-24,True
clean,22,16,spinning,23,141140, crawler,76.5,-54.511592864990234,2.11795150770774e-24,True
clean,22,16,spinning,24,227885, gecko,76.5,-54.511592864990234,2.11795150770774e-24,True
clean,22,16,spinning,25,186153, wasp,76.0,-55.011592864990234,1.2846025945215629e-24,True
clean,22,16,spinning,26,76566, Webs,76.0,-55.011592864990234,1.2846025945215629e-24,True
clean,22,16,spinning,27,214510, weaver,76.0,-55.011592864990234,1.2846025945215629e-24,True
clean,22,16,spinning,28,115614, beetles,76.0,-55.011592864990234,1.2846025945215629e-24,True
clean,22,16,spinning,29,138062, caterpillar,75.5,-55.511592864990234,7.791508163386464e-25,True
clean,22,16,spinning,30,227652, webbing,74.5,-56.511592864990234,2.866335713362829e-25,True
clean,22,21,"
",1,92664, spiders,110.5,-0.00020394629973452538,0.9997960925102234,True
clean,22,21,"
",2,32261, spider,102.0,-8.500204086303711,0.0002034268545685336,True
clean,22,21,"
",3,48587,spider,96.0,-14.500204086303711,5.042447241976333e-07,True
clean,22,21,"
",4,86757,Spider,86.5,-24.00020408630371,3.77436415455179e-11,True
clean,22,21,"
",5,40046, Spider,83.0,-27.50020408630371,1.1397591854686584e-12,True
clean,22,21,"
",6,30348, insects,79.0,-31.50020408630371,2.0875418364416087e-14,True
clean,22,21,"
",7,103796, crabs,76.5,-34.00020217895508,1.7135619459764345e-15,True
clean,22,21,"
",8,218685, crustaceans,69.0,-41.50020217895508,9.477443581817394e-19,True
clean,22,21,"
",9,149047, invertebrates,67.0,-43.50020217895508,1.2826324616793189e-19,True
clean,22,21,"
",10,182236,蜘蛛,66.5,-44.00020217895508,7.779559344053066e-20,False
clean,22,21,"
",11,115614, beetles,66.0,-44.50020217895508,4.718541298148788e-20,True
clean,22,21,"
",12,192400, chitin,66.0,-44.50020217895508,4.718541298148788e-20,True
clean,22,21,"
",13,211370, crawls,65.5,-45.00020217895508,2.861939906269773e-20,True
clean,22,21,"
",14,161925, arthrop,65.5,-45.00020217895508,2.861939906269773e-20,True
clean,22,21,"
",15,141140, crawler,65.5,-45.00020217895508,2.861939906269773e-20,True
clean,22,21,"
",16,89845, frogs,64.5,-46.00020217895508,1.0528488122513482e-20,True
clean,22,21,"
",17,216702, caterpillars,64.5,-46.00020217895508,1.0528488122513482e-20,True
clean,22,21,"
",18,68468, worms,64.0,-46.50020217895508,6.385850888677496e-21,True
clean,22,21,"
",19,195052, wasps,64.0,-46.50020217895508,6.385850888677496e-21,True
clean,22,21,"
",20,142681, tentacles,63.25,-47.25020217895508,3.0164625357425418e-21,True
clean,22,21,"
",21,134588, arach,63.25,-47.25020217895508,3.0164625357425418e-21,True
clean,22,21,"
",22,72177, crawling,63.0,-47.50020217895508,2.349223231909359e-21,True
clean,22,21,"
",23,193663, Insects,62.75,-47.75020217895508,1.8295769004348965e-21,True
clean,22,21,"
",24,135988, mites,62.75,-47.75020217895508,1.8295769004348965e-21,True
clean,22,21,"
",25,119621, snails,62.75,-47.75020217895508,1.8295769004348965e-21,True
clean,22,21,"
",26,133963, crawled,62.25,-48.25020217895508,1.1096944976373893e-21,True
clean,22,21,"
",27,16368, insect,62.25,-48.25020217895508,1.1096944976373893e-21,True
clean,22,21,"
",28,63272, ants,62.25,-48.25020217895508,1.1096944976373893e-21,True
clean,22,21,"
",29,248339,🕷,62.0,-48.50020217895508,8.642309732687833e-22,False
clean,22,21,"
",30,210358, nymphs,61.75,-48.75020217895508,6.730637478863553e-22,True
L7_only,7,16,spinning,1,8455,"\""",105.5,-0.07893205434083939,0.9241027235984802,False
L7_only,7,16,spinning,2,255999,<start_of_image>,103.0,-2.578932046890259,0.07585497200489044,False
L7_only,7,16,spinning,3,7339," \""",95.5,-10.07893180847168,4.1954208427341655e-05,False
L7_only,7,16,spinning,4,179255,"\"";",90.0,-15.57893180847168,1.714572590572061e-07,False
L7_only,7,16,spinning,5,63985,".\""",89.0,-16.57893180847168,6.307560340701457e-08,False
L7_only,7,16,spinning,6,158103,"\"".",88.0,-17.57893180847168,2.3204217214356504e-08,False
L7_only,7,16,spinning,7,207,</strong>,81.5,-24.07893180847168,3.4886128708055963e-11,False
L7_only,7,16,spinning,8,84252,",\""",81.0,-24.57893180847168,2.1159506438661602e-11,False
L7_only,7,16,spinning,9,155319,"\""{",81.0,-24.57893180847168,2.1159506438661602e-11,False
L7_only,7,16,spinning,10,46352,"\"">",80.5,-25.07893180847168,1.283388933320806e-11,False
L7_only,7,16,spinning,11,208652,"\"""");",79.5,-26.07893180847168,4.721324026180085e-12,False
L7_only,7,16,spinning,12,191,</h1>,79.0,-26.57893180847168,2.8636279545551924e-12,False
L7_only,7,16,spinning,13,159842, \...,75.0,-30.57893180847168,5.244917456077858e-14,False
L7_only,7,16,spinning,14,97563,"\"":\""",71.5,-34.07893371582031,1.5838247681816903e-15,False
L7_only,7,16,spinning,15,123362,"\""\",71.0,-34.57893371582031,9.60638276689468e-16,False
L7_only,7,16,spinning,16,227,</a>,70.5,-35.07893371582031,5.826566002408145e-16,False
L7_only,7,16,spinning,17,160830,"\"")",70.5,-35.07893371582031,5.826566002408145e-16,False
L7_only,7,16,spinning,18,50416,"\"":",70.0,-35.57893371582031,3.533990862534392e-16,False
L7_only,7,16,spinning,19,144552,\@,70.0,-35.57893371582031,3.533990862534392e-16,False
L7_only,7,16,spinning,20,13837,"\"",",68.5,-37.07893371582031,7.885399621160216e-17,False
L7_only,7,16,spinning,21,181046," (\""",68.5,-37.07893371582031,7.885399621160216e-17,False
L7_only,7,16,spinning,22,86757,Spider,67.5,-38.07893371582031,2.90087641698141e-17,True
L7_only,7,16,spinning,23,208669,"\"",\""",67.5,-38.07893371582031,2.90087641698141e-17,False
L7_only,7,16,spinning,24,194848,Insect,64.5,-41.07893371582031,1.444261278625496e-18,True
L7_only,7,16,spinning,25,176500,"\"">\",63.25,-42.32893371582031,4.1378776979836673e-19,False
L7_only,7,16,spinning,26,67619,Spin,63.25,-42.32893371582031,4.1378776979836673e-19,True
L7_only,7,16,spinning,27,72840,"}"";",62.75,-42.82893371582031,2.509749730522907e-19,False
L7_only,7,16,spinning,28,126522,"\""]",61.75,-43.82893371582031,9.232853641762794e-20,False
L7_only,7,16,spinning,29,157684,}}$$,61.75,-43.82893371582031,9.232853641762794e-20,False
L7_only,7,16,spinning,30,22233,"=\""",61.25,-44.32893371582031,5.600008869574876e-20,False
L7_only,22,16,spinning,1,32261, spider,118.5,-0.08028392493724823,0.9228543043136597,True
L7_only,22,16,spinning,2,92664, spiders,116.0,-2.5802838802337646,0.07575249671936035,True
L7_only,22,16,spinning,3,40046, Spider,112.0,-6.580284118652344,0.0013874550350010395,True
L7_only,22,16,spinning,4,86757,Spider,106.5,-12.080284118652344,5.670211521646706e-06,True
L7_only,22,16,spinning,5,48587,spider,101.0,-17.580284118652344,2.317285918707057e-08,True
L7_only,22,16,spinning,6,30348, insects,89.0,-29.580284118652344,1.4237896072636508e-13,True
L7_only,22,16,spinning,7,103796, crabs,88.5,-30.080284118652344,8.635721125823878e-14,True
L7_only,22,16,spinning,8,16368, insect,81.0,-37.580284118652344,4.776282139329806e-17,True
L7_only,22,16,spinning,9,195052, wasps,79.5,-39.080284118652344,1.0657326356142367e-17,True
L7_only,22,16,spinning,10,65705, octopus,79.5,-39.080284118652344,1.0657326356142367e-17,True
L7_only,22,16,spinning,11,63272, ants,79.0,-39.580284118652344,6.4639950385798155e-18,True
L7_only,22,16,spinning,12,43695, crab,78.5,-40.080284118652344,3.920611110374737e-18,True
L7_only,22,16,spinning,13,193663, Insects,78.5,-40.080284118652344,3.920611110374737e-18,True
L7_only,22,16,spinning,14,40778, shrimp,78.0,-40.580284118652344,2.3779709667516247e-18,True
