condition,layer,position,prompt_token,family,variant_count,best_token_id,best_token,best_surface,best_rank,best_logit,family_log_probability,family_probability
clean,7,16,spinning,spider,5,86757,Spider,Spider,13,69.5,-28.507619857788086,4.161960973787649e-13
clean,7,16,spinning,ant,6,63272, ants, ants,1126,32.25,-65.75759887695312,2.7659075801671354e-29
clean,7,16,spinning,insect,3,182852,insect,insect,80,51.0,-47.00578689575195,3.8516439498531375e-21
clean,7,16,spinning,six,5,44955,Six,Six,20331,14.875,-83.12923431396484,7.896456596903386e-37
clean,7,16,spinning,eight,5,80357,Eight,Eight,11716,18.375,-79.63213348388672,2.607377093200775e-35
clean,7,16,spinning,four,5,19025,four,four,25589,13.3125,-84.69461822509766,1.6504206844395436e-37
clean,7,16,spinning,web,6,208971,spinning,spinning,119,47.75,-50.25440216064453,1.495513887481778e-22
clean,22,16,spinning,spider,5,32261, spider, spider,1,131.0,0.0,1.0
clean,22,16,spinning,ant,6,63272, ants, ants,30,74.5,-56.511592864990234,2.866335715544696e-25
clean,22,16,spinning,insect,3,30348, insects, insects,6,90.0,-41.01068115234375,1.5462776422869786e-18
clean,22,16,spinning,six,5,19759, Six, Six,44879,13.3125,-117.68983459472656,7.725992094140629e-52
clean,22,16,spinning,eight,5,80357,Eight,Eight,34873,15.75,-114.97407531738281,1.1678673786927494e-50
clean,22,16,spinning,four,5,13038, Four, Four,105473,4.53125,-126.0445556640625,1.8177954044392255e-55
clean,22,16,spinning,web,6,15743, webs, webs,43,72.0,-59.011539459228516,2.3529572907821254e-26
clean,22,21,"
",spider,5,92664, spiders, spiders,1,110.5,0.0,1.0
clean,22,21,"
",ant,6,63272, ants, ants,26,62.25,-48.25020217895508,1.1096945240828974e-21
clean,22,21,"
",insect,3,30348, insects, insects,6,79.0,-31.50020408630371,2.0875418294728254e-14
clean,22,21,"
",six,5,34699,six,six,3143,28.375,-82.1218032836914,2.162489413010528e-36
clean,22,21,"
",eight,5,6589, eight, eight,5068,25.5,-84.91337585449219,1.3261401583454557e-37
clean,22,21,"
",four,5,19025,four,four,2303,30.25,-80.20652770996094,1.4680728360959328e-35
clean,22,21,"
",web,6,57031,webs,webs,40,59.25,-51.08650207519531,6.507498085371147e-23
L7_only,7,16,spinning,spider,5,86757,Spider,Spider,22,67.5,-38.078922271728516,2.900909501905509e-17
L7_only,7,16,spinning,ant,6,63272, ants, ants,406,39.0,-66.57893371582031,1.2165682448459922e-29
L7_only,7,16,spinning,insect,3,182852,insect,insect,88,51.25,-54.32368850708008,2.5557704515052106e-24
L7_only,7,16,spinning,six,5,44955,Six,Six,15046,16.75,-88.82844543457031,2.6442122429483084e-39
L7_only,7,16,spinning,eight,5,80357,Eight,Eight,11918,18.25,-87.32768249511719,1.185958180101413e-38
L7_only,7,16,spinning,four,5,19025,four,four,21121,14.5,-91.07828521728516,2.7874257578507833e-40
L7_only,7,16,spinning,web,6,208971,spinning,spinning,229,43.0,-62.56439208984375,6.7395321865360855e-28
L7_only,22,16,spinning,spider,5,32261, spider, spider,1,118.5,0.0,1.0
L7_only,22,16,spinning,ant,6,63272, ants, ants,11,79.0,-39.580284118652344,6.463995048718063e-18
L7_only,22,16,spinning,insect,3,30348, insects, insects,6,89.0,-29.57994842529297,1.4242676953497787e-13
L7_only,22,16,spinning,six,5,19759, Six, Six,56910,11.5625,-106.35538482666016,6.463135322283848e-47
L7_only,22,16,spinning,eight,5,80357,Eight,Eight,33063,16.75,-101.81359100341797,6.066235195800816e-45
L7_only,22,16,spinning,four,5,19025,four,four,109833,4.78125,-113.76763153076172,3.902522422007396e-50
L7_only,22,16,spinning,web,6,15743, webs, webs,85,63.75,-54.83015441894531,1.5401623191426024e-24
L7_only,22,21,"
",spider,5,92664, spiders, spiders,1,62.5,-0.025391362607479095,0.9749282868798386
L7_only,22,21,"
",ant,6,63272, ants, ants,123,37.0,-25.585853576660156,7.730453583959112e-12
L7_only,22,21,"
",insect,3,30348, insects, insects,6,56.5,-6.084678649902344,0.0022774960802614762
L7_only,22,21,"
",six,5,34699,six,six,1857,24.5,-38.03704833984375,3.0249611277057344e-17
L7_only,22,21,"
",eight,5,44622,eight,eight,4206,20.75,-41.124786376953125,1.3795333598372255e-18
L7_only,22,21,"
",four,5,19025,four,four,1857,24.5,-38.07716751098633,2.906004372848513e-17
L7_only,22,21,"
",web,6,57031,webs,webs,132,36.75,-25.801719665527344,6.229533500126012e-12
L22_only,7,16,spinning,spider,5,86757,Spider,Spider,13,69.5,-28.507619857788086,4.161960973787649e-13
L22_only,7,16,spinning,ant,6,63272, ants, ants,1126,32.25,-65.75759887695312,2.7659075801671354e-29
L22_only,7,16,spinning,insect,3,182852,insect,insect,80,51.0,-47.00578689575195,3.8516439498531375e-21
L22_only,7,16,spinning,six,5,44955,Six,Six,20331,14.875,-83.12923431396484,7.896456596903386e-37
L22_only,7,16,spinning,eight,5,80357,Eight,Eight,11716,18.375,-79.63213348388672,2.607377093200775e-35
L22_only,7,16,spinning,four,5,19025,four,four,25589,13.3125,-84.69461822509766,1.6504206844395436e-37
L22_only,7,16,spinning,web,6,208971,spinning,spinning,119,47.75,-50.25440216064453,1.495513887481778e-22
L22_only,22,16,spinning,spider,5,92664, spiders, spiders,1,79.0,-0.3334919214248657,0.7164176862506926
L22_only,22,16,spinning,ant,6,63272, ants, ants,7,69.0,-10.41249942779541,3.0054461830302767e-05
