layer,position,condition,list_index,vocabulary_rank,token_id,token,log_probability,probability,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine
22,16,clean,1,1,32261, spider,-0.0119492681697011,0.9881218671798706,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,clean,2,2,92664, spiders,-4.511949062347412,0.010977044701576233,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,clean,3,3,40046, Spider,-7.011949062347412,0.0009010506910271943,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,clean,4,4,86757,Spider,-16.51194953918457,6.744525649082789e-08,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,clean,5,5,48587,spider,-20.01194953918457,2.036670387894901e-09,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,edited,1,27,12107, programme,-6.549002170562744,0.001431543380022049,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,edited,2,30,29473, anda,-6.736502170562744,0.0011867911089211702,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,edited,3,33,16297, labour,-6.861502170562744,0.0010473395232111216,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,edited,4,66,20126, whilst,-7.736502170562744,0.0004365960485301912,29155.197265625,0.7494505939188685,0.8190406560897827
22,16,edited,5,69,22987, programmes,-7.799002170562744,0.00041014401358552277,29155.197265625,0.7494505939188685,0.8190406560897827
23,16,clean,1,1,32261, spider,-0.0009282094542868435,0.9990721940994263,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,clean,2,2,92664, spiders,-7.0009284019470215,0.0009110357495956123,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,clean,3,3,40046, Spider,-11.000927925109863,1.668621007411275e-05,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,clean,4,4,86757,Spider,-20.00092887878418,2.059239889717901e-09,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,clean,5,5,48587,spider,-22.00092887878418,2.786878228189238e-10,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,edited,1,42,12107, programme,-7.664851665496826,0.0004690263303928077,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,edited,2,57,16297, labour,-8.227351188659668,0.00026724327472038567,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,edited,3,57,29473, anda,-8.227351188659668,0.00026724327472038567,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,edited,4,90,22987, programmes,-8.789851188659668,0.00015227062976919115,29890.154296875,0.7523147167247642,0.8107534646987915
23,16,edited,5,105,20488, honour,-9.164851188659668,0.00010465396917425096,29890.154296875,0.7523147167247642,0.8107534646987915
24,16,clean,1,1,32261, spider,-0.0009116546134464443,0.9990887641906738,30893.703125,0.7693955826618006,0.8043400049209595
24,16,clean,2,2,92664, spiders,-7.000911712646484,0.0009110510000027716,30893.703125,0.7693955826618006,0.8043400049209595
24,16,clean,3,3,40046, Spider,-15.500911712646484,1.8537005530561146e-07,30893.703125,0.7693955826618006,0.8043400049209595
24,16,clean,4,4,48587,spider,-22.500911712646484,1.6903560495773462e-10,30893.703125,0.7693955826618006,0.8043400049209595
24,16,clean,5,5,86757,Spider,-25.500911712646484,8.415787164373079e-12,30893.703125,0.7693955826618006,0.8043400049209595
24,16,edited,1,36,12107, programme,-7.03413200378418,0.0008812827873043716,30893.703125,0.7693955826618006,0.8043400049209595
24,16,edited,2,55,16297, labour,-7.65913200378418,0.0004717166884802282,30893.703125,0.7693955826618006,0.8043400049209595
24,16,edited,3,60,29473, anda,-7.72163200378418,0.00044313681428320706,30893.703125,0.7693955826618006,0.8043400049209595
24,16,edited,4,75,22987, programmes,-8.09663200378418,0.0003045631747227162,30893.703125,0.7693955826618006,0.8043400049209595
24,16,edited,5,99,32175, recognised,-8.47163200378418,0.0002093230141326785,30893.703125,0.7693955826618006,0.8043400049209595
25,16,clean,1,1,32261, spider,-0.002476246329024434,0.9975268244743347,31892.65625,0.7454933351351622,0.8066187500953674
25,16,clean,2,2,92664, spiders,-6.002476215362549,0.0024726218543946743,31892.65625,0.7454933351351622,0.8066187500953674
25,16,clean,3,3,40046, Spider,-14.502476692199707,5.031000682720332e-07,31892.65625,0.7454933351351622,0.8066187500953674
25,16,clean,4,4,48587,spider,-20.00247573852539,2.0560571023509056e-09,31892.65625,0.7454933351351622,0.8066187500953674
25,16,clean,5,5,86757,Spider,-23.50247573852539,6.208754343983713e-11,31892.65625,0.7454933351351622,0.8066187500953674
25,16,edited,1,46,12107, programme,-7.473388195037842,0.0005680005415342748,31892.65625,0.7454933351351622,0.8066187500953674
25,16,edited,2,49,16297, labour,-7.535888195037842,0.0005335871246643364,31892.65625,0.7454933351351622,0.8066187500953674
25,16,edited,3,59,29473, anda,-7.723388195037842,0.00044235927634872496,31892.65625,0.7454933351351622,0.8066187500953674
25,16,edited,4,69,531, to,-7.973388195037842,0.0003445097536314279,31892.65625,0.7454933351351622,0.8066187500953674
25,16,edited,5,72,3186, Mr,-8.035888671875,0.0003236368065699935,31892.65625,0.7454933351351622,0.8066187500953674
26,16,clean,1,1,32261, spider,-0.00012420836719684303,0.9998757839202881,33934.7734375,0.7437072797311413,0.7893131971359253
26,16,clean,2,2,92664, spiders,-9.000123977661133,0.00012339450768195093,33934.7734375,0.7437072797311413,0.7893131971359253
26,16,clean,3,3,40046, Spider,-14.000123977661133,8.314256092489813e-07,33934.7734375,0.7437072797311413,0.7893131971359253
26,16,clean,4,4,48587,spider,-19.500123977661133,3.3978464486494886e-09,33934.7734375,0.7437072797311413,0.7893131971359253
