prompt,condition,answer,top_probability,top_animal_family,family,family_probability,best_token,best_token_probability,best_token_rank,spider_suppression,ant_factor,total_delta_norm
identity,clean,Spider,0.9999997615814209,spider,spider,0.9999998807907104, Spider,0.9999997615814209,1,0.0,0.0,0.0
identity,clean,Spider,0.9999997615814209,spider,ant,6.327397658227197e-17, Ant,3.5571026197213685e-17,64,0.0,0.0,0.0
identity,clean,Spider,0.9999997615814209,spider,wasp,2.862541874035861e-20, wasp,2.8625179633462795e-20,304,0.0,0.0,0.0
identity,clean,Spider,0.9999997615814209,spider,termite,6.892418861062305e-26, termite,6.887527307152352e-26,6817,0.0,0.0,0.0
identity,clean,Spider,0.9999997615814209,spider,bee,6.307835299961461e-16, Bee,6.305115265409591e-16,36,0.0,0.0,0.0
identity,clean,Spider,0.9999997615814209,spider,insect,7.698008219368321e-15, Insect,7.681203085694796e-15,25,0.0,0.0,0.0
identity,zero_strength_control,Spider,0.9999997615814209,spider,spider,0.9999998807907104, Spider,0.9999997615814209,1,0.0,0.0,0.0
identity,zero_strength_control,Spider,0.9999997615814209,spider,ant,6.327397658227197e-17, Ant,3.5571026197213685e-17,64,0.0,0.0,0.0
identity,zero_strength_control,Spider,0.9999997615814209,spider,wasp,2.862541874035861e-20, wasp,2.8625179633462795e-20,304,0.0,0.0,0.0
identity,zero_strength_control,Spider,0.9999997615814209,spider,termite,6.892418861062305e-26, termite,6.887527307152352e-26,6817,0.0,0.0,0.0
identity,zero_strength_control,Spider,0.9999997615814209,spider,bee,6.307835299961461e-16, Bee,6.305115265409591e-16,36,0.0,0.0,0.0
identity,zero_strength_control,Spider,0.9999997615814209,spider,insect,7.698008219368321e-15, Insect,7.681203085694796e-15,25,0.0,0.0,0.0
identity,spider_suppression_only,Spider,0.9999997615814209,spider,spider,0.9999998807907104, Spider,0.9999997615814209,1,1.0,0.0,2514.4113895425758
identity,spider_suppression_only,Spider,0.9999997615814209,spider,ant,2.659757569761388e-16, Ant,1.806445858436667e-16,45,1.0,0.0,2514.4113895425758
identity,spider_suppression_only,Spider,0.9999997615814209,spider,wasp,1.1321666280453039e-19, wasp,1.13214775798758e-19,219,1.0,0.0,2514.4113895425758
identity,spider_suppression_only,Spider,0.9999997615814209,spider,termite,3.0888351642755796e-25, termite,3.086775744274887e-25,4933,1.0,0.0,2514.4113895425758
identity,spider_suppression_only,Spider,0.9999997615814209,spider,bee,1.2670349964799977e-14, Bee,1.2664162389120284e-14,26,1.0,0.0,2514.4113895425758
identity,spider_suppression_only,Spider,0.9999997615814209,spider,insect,7.300140581010389e-14, Insect,7.287721722750926e-14,17,1.0,0.0,2514.4113895425758
identity,ant_injection_only,Spider,0.9999998807907104,spider,spider,0.9999999403953552, Spider,0.9999998807907104,1,0.0,4.0,7450.756869895024
identity,ant_injection_only,Spider,0.9999998807907104,spider,ant,9.731985667863743e-19, Ants,9.479358504935454e-19,65,0.0,4.0,7450.756869895024
identity,ant_injection_only,Spider,0.9999998807907104,spider,wasp,1.614928681161375e-21, wasp,1.6149223197870354e-21,249,0.0,4.0,7450.756869895024
identity,ant_injection_only,Spider,0.9999998807907104,spider,termite,2.2375447930915084e-26, termite,2.2360530447937838e-26,2980,0.0,4.0,7450.756869895024
identity,ant_injection_only,Spider,0.9999998807907104,spider,bee,8.096929820822522e-16, Bee,8.095929263153578e-16,22,0.0,4.0,7450.756869895024
identity,ant_injection_only,Spider,0.9999998807907104,spider,insect,3.639893274347229e-15, Insect,3.628343556594943e-15,18,0.0,4.0,7450.756869895024
identity,full_edit,Spider,0.9999998807907104,spider,spider,1.0, Spider,0.9999998807907104,1,1.0,4.0,7816.775202180167
identity,full_edit,Spider,0.9999998807907104,spider,ant,4.231411652396226e-17, Ants,4.030726055262286e-17,44,1.0,4.0,7816.775202180167
identity,full_edit,Spider,0.9999998807907104,spider,wasp,1.532211043997695e-20, wasp,1.5321955343612096e-20,165,1.0,4.0,7816.775202180167
identity,full_edit,Spider,0.9999998807907104,spider,termite,2.560734449946669e-25, termite,2.5590273056439643e-25,2000,1.0,4.0,7816.775202180167
identity,full_edit,Spider,0.9999998807907104,spider,bee,5.6765847583498466e-14, Bee,5.675684531733505e-14,14,1.0,4.0,7816.775202180167
identity,full_edit,Spider,0.9999998807907104,spider,insect,4.4382944178579867e-14, Insect,4.4202272050930524e-14,15,1.0,4.0,7816.775202180167
