condition,layer,position,prompt_token,contrast,positive_family,negative_family,log_probability_difference
clean,7,16,spinning,ant_minus_spider,ant,spider,-36.99998474121094
clean,7,16,spinning,insect_minus_spider,insect,spider,-18.247745513916016
clean,7,16,spinning,six_minus_eight,six,eight,-3.5595474243164062
clean,22,16,spinning,ant_minus_spider,ant,spider,-57.01194763183594
clean,22,16,spinning,insect_minus_spider,insect,spider,-41.01044464111328
clean,22,16,spinning,six_minus_eight,six,eight,-2.798614501953125
clean,22,21,"
",ant_minus_spider,ant,spider,-48.7501220703125
clean,22,21,"
",insect_minus_spider,insect,spider,-31.500123977661133
clean,22,21,"
",six_minus_eight,six,eight,2.9598312377929688
L7_only,7,16,spinning,ant_minus_spider,ant,spider,-28.250011444091797
L7_only,7,16,spinning,insect_minus_spider,insect,spider,-15.994766235351562
L7_only,7,16,spinning,six_minus_eight,six,eight,-1.5006332397460938
L7_only,22,16,spinning,ant_minus_spider,ant,spider,-39.080284118652344
L7_only,22,16,spinning,insect_minus_spider,insect,spider,-29.07994842529297
L7_only,22,16,spinning,six_minus_eight,six,eight,-4.352241516113281
L7_only,22,21,"
",ant_minus_spider,ant,spider,-24.29739921540022
L7_only,22,21,"
",insect_minus_spider,insect,spider,-4.296485595405102
L7_only,22,21,"
",six_minus_eight,six,eight,3.1239700317382812
L22_only,7,16,spinning,ant_minus_spider,ant,spider,-36.99998474121094
L22_only,7,16,spinning,insect_minus_spider,insect,spider,-18.247745513916016
L22_only,7,16,spinning,six_minus_eight,six,eight,-3.5595474243164062
L22_only,22,16,spinning,ant_minus_spider,ant,spider,-9.579009890556335
L22_only,22,16,spinning,insect_minus_spider,insect,spider,-10.078886866569519
L22_only,22,16,spinning,six_minus_eight,six,eight,3.7563552856445312
L22_only,22,21,"
",ant_minus_spider,ant,spider,-34.000007748633834
L22_only,22,21,"
",insect_minus_spider,insect,spider,-12.500005841285201
L22_only,22,21,"
",six_minus_eight,six,eight,8.36422348022461
L7_L22,7,16,spinning,ant_minus_spider,ant,spider,-28.250011444091797
L7_L22,7,16,spinning,insect_minus_spider,insect,spider,-15.994766235351562
L7_L22,7,16,spinning,six_minus_eight,six,eight,-1.5006332397460938
L7_L22,22,16,spinning,ant_minus_spider,ant,spider,-1.0299142599105835
L7_L22,22,16,spinning,insect_minus_spider,insect,spider,-6.029892802238464
L7_L22,22,16,spinning,six_minus_eight,six,eight,2.4982070922851562
L7_L22,22,21,"
",ant_minus_spider,ant,spider,-16.271987438201904
L7_L22,22,21,"
",insect_minus_spider,insect,spider,5.2287328243255615
L7_L22,22,21,"
",six_minus_eight,six,eight,4.53117561340332
