condition,layer,position,prompt_token,family,variant_count,best_token_id,best_token,best_surface,best_rank,best_logit,family_log_probability,family_probability
clean,7,16,spinning,spider,5,86757,Spider,Spider,14,69.5,-29.004981994628906,2.5310246336612793e-13
clean,7,16,spinning,ant,6,63272, ants, ants,1095,32.5,-66.00496673583984,2.1597683292942443e-29
clean,7,16,spinning,insect,3,182852,insect,insect,78,51.25,-47.25272750854492,3.0088545083840567e-21
clean,7,16,spinning,six,5,44955,Six,Six,20136,14.9375,-83.56410217285156,5.111772781009877e-37
clean,7,16,spinning,eight,5,80357,Eight,Eight,11501,18.5,-80.00455474853516,1.7966494367225026e-35
clean,7,16,spinning,four,5,19025,four,four,25545,13.3125,-85.19195556640625,1.0036997014352496e-37
clean,7,16,spinning,web,6,208971,spinning,spinning,120,47.75,-50.75175476074219,9.09479596642996e-23
clean,22,16,spinning,spider,5,32261, spider, spider,1,131.0,0.0,1.0
clean,22,16,spinning,ant,6,63272, ants, ants,31,74.0,-57.01194763183594,1.7379038324676268e-25
clean,22,16,spinning,insect,3,30348, insects, insects,6,90.0,-41.01044464111328,1.5466433975657128e-18
clean,22,16,spinning,six,5,19759, Six, Six,43839,13.5625,-117.43962097167969,9.92248966409042e-52
clean,22,16,spinning,eight,5,80357,Eight,Eight,33536,16.125,-114.64100646972656,1.6294591989392728e-50
clean,22,16,spinning,four,5,13038, Four, Four,104316,4.6875,-125.9704818725586,1.9575589083862413e-55
clean,22,16,spinning,web,6,15743, webs, webs,45,72.0,-59.011878967285156,2.3521585784172872e-26
clean,22,21,"
",spider,5,92664, spiders, spiders,1,112.0,0.0,1.0
clean,22,21,"
",ant,6,63272, ants, ants,23,63.25,-48.7501220703125,6.73117672154735e-22
clean,22,21,"
",insect,3,30348, insects, insects,6,80.5,-31.500123977661133,2.0877090663135784e-14
clean,22,21,"
",six,5,34699,six,six,4038,26.875,-85.1202621459961,1.0783006123427053e-37
clean,22,21,"
",eight,5,6589, eight, eight,6750,23.75,-88.08009338378906,5.588580073357159e-39
clean,22,21,"
",four,5,19025,four,four,3212,28.25,-83.71533966064453,4.394302344724495e-37
clean,22,21,"
",web,6,57031,webs,webs,40,59.5,-52.3354377746582,1.8664147865748054e-23
L7_only,7,16,spinning,spider,5,86757,Spider,Spider,23,67.5,-38.529781341552734,1.8481132232702044e-17
L7_only,7,16,spinning,ant,6,63272, ants, ants,390,39.25,-66.77979278564453,9.951865332238668e-30
L7_only,7,16,spinning,insect,3,182852,insect,insect,84,51.5,-54.5245475769043,2.0906910451796724e-24
L7_only,7,16,spinning,six,5,44955,Six,Six,14685,16.875,-89.15438842773438,1.9087149203274637e-39
L7_only,7,16,spinning,eight,5,80357,Eight,Eight,11587,18.375,-87.65375518798828,8.559685414018043e-39
L7_only,7,16,spinning,four,5,19025,four,four,21195,14.4375,-91.59156036376953,1.6683637504858054e-40
L7_only,7,16,spinning,web,6,208971,spinning,spinning,229,43.0,-63.01839065551758,4.280166660974903e-28
L7_only,22,16,spinning,spider,5,32261, spider, spider,1,118.0,0.0,1.0
L7_only,22,16,spinning,ant,6,63272, ants, ants,10,79.0,-39.080284118652344,1.0657326130521783e-17
L7_only,22,16,spinning,insect,3,30348, insects, insects,6,89.0,-29.07994842529297,2.34822044449423e-13
L7_only,22,16,spinning,six,5,19759, Six, Six,54848,11.9375,-105.53898620605469,1.4621794135303983e-46
L7_only,22,16,spinning,eight,5,80357,Eight,Eight,32606,16.875,-101.1867446899414,1.1354163385713735e-44
L7_only,22,16,spinning,four,5,19025,four,four,110062,4.75,-113.28593444824219,6.317478780689556e-50
L7_only,22,16,spinning,web,6,15743, webs, webs,84,63.5,-54.58018112182617,1.977554756489735e-24
L7_only,22,21,"
",spider,5,92664, spiders, spiders,1,61.25,-0.11506301909685135,0.8913099725874299
L7_only,22,21,"
",ant,6,63272, ants, ants,127,37.0,-24.41246223449707,2.4992077669613555e-11
L7_only,22,21,"
",insect,3,30348, insects, insects,6,57.0,-4.411548614501953,0.012136369212274591
L7_only,22,21,"
",six,5,34699,six,six,1685,25.0,-36.36919403076172,1.6034658730597385e-16
L7_only,22,21,"
",eight,5,44622,eight,eight,3818,21.25,-39.4931640625,7.052397369232113e-18
L7_only,22,21,"
",four,5,19025,four,four,1685,25.0,-36.40247344970703,1.5509816269679388e-16
L7_only,22,21,"
",web,6,57031,webs,webs,162,35.75,-25.62527084350586,7.431667580846136e-12
L22_only,7,16,spinning,spider,5,86757,Spider,Spider,14,69.5,-29.004981994628906,2.5310246336612793e-13
L22_only,7,16,spinning,ant,6,63272, ants, ants,1095,32.5,-66.00496673583984,2.1597683292942443e-29
