condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,22,1,1,92664, spiders,-1.0777320861816406,0.34036657214164734
clean,22,2,2,22790, habitat,-1.0777320861816406,0.34036657214164734
clean,22,3,3,32261, spider,-1.5777320861816406,0.20645977556705475
clean,22,4,4,8075, animals,-3.0777320861816406,0.046063605695962906
clean,22,5,5,121921, mammal,-3.3277320861816406,0.0358743742108345
clean,23,1,4,8075, animals,-7.1292948722839355,0.000801284215413034
clean,23,2,5,121921, mammal,-9.629295349121094,6.577338353963569e-05
clean,23,3,5,7626, animal,-9.629295349121094,6.577338353963569e-05
clean,23,4,9,30348, insects,-12.129295349121094,5.399007932282984e-06
clean,23,5,9,54515, mammals,-12.129295349121094,5.399007932282984e-06
clean,24,1,64,92664, spiders,-46.500335693359375,6.384998666464368e-21
clean,24,2,72,32261, spider,-49.500335693359375,3.178903713116596e-22
clean,24,3,84,30348, insects,-53.750335693359375,4.534462413353571e-24
clean,24,4,88,1133, like,-57.250335693359375,1.3692889820645279e-25
clean,24,5,89,8075, animals,-58.000335693359375,6.468063463050306e-26
clean,25,1,26,92664, spiders,-25.502479553222656,8.402603265955655e-12
clean,25,2,31,32261, spider,-28.002479553222656,6.897276803516372e-13
clean,25,3,49,30348, insects,-30.502479553222656,5.6616295446331247e-14
clean,25,4,57,8075, animals,-32.252479553222656,9.838436760157415e-15
clean,25,5,66,16368, insect,-34.002479553222656,1.7096640062322886e-15
clean,26,1,2,32261, spider,-7.251535892486572,0.0007090845028869808
clean,26,2,4,92664, spiders,-9.25153636932373,9.596410382073373e-05
clean,26,3,17,40046, Spider,-18.001535415649414,1.5206612857809887e-08
clean,26,4,20,16368, insect,-19.251535415649414,4.356767835389519e-09
clean,26,5,22,30348, insects,-19.751535415649414,2.642513097228516e-09
clean,27,1,2,32261, spider,-5.255824565887451,0.005217042751610279
clean,27,2,3,92664, spiders,-7.505824565887451,0.0005498722312040627
clean,27,3,6,40046, Spider,-14.005824089050293,8.266998747785692e-07
clean,27,4,18,48587,spider,-18.25582504272461,1.1792229415164002e-08
clean,27,5,19,86757,Spider,-18.75582504272461,7.15234893533534e-09
clean,28,1,2,32261, spider,-11.000024795532227,1.670128585828934e-05
clean,28,2,5,92664, spiders,-14.250024795532227,6.475791565208056e-07
clean,28,3,16,40046, Spider,-18.250024795532227,1.1860826099052701e-08
clean,28,4,29,1133, like,-21.625024795532227,4.0585515503899217e-10
clean,28,5,42,48587,spider,-23.250024795532227,7.991761419301469e-11
clean,29,1,3,32261, spider,-11.75003433227539,7.88905435911147e-06
clean,29,2,8,92664, spiders,-14.50003433227539,5.043303303864377e-07
clean,29,3,25,1133, like,-18.75003433227539,7.193885931400246e-09
clean,29,4,26,40046, Spider,-18.87503433227539,6.348582104465095e-09
clean,29,5,43,67163, crawl,-21.50003433227539,4.5988973740307415e-10
clean,30,1,5,32261, spider,-13.500117301940918,1.3707982589039602e-06
clean,30,2,21,92664, spiders,-16.0001163482666,1.1252208054202129e-07
