layer,transport,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine,top5_token_overlap,clean_ant_minus_spider,edited_ant_minus_spider,clean_insect_minus_spider,edited_insect_minus_spider,clean_six_minus_eight,edited_six_minus_eight
22,published_jlens,1013.0419921875,0.02478370062934313,0.9996923804283142,4,-20.224081993103027,-16.82596004009247,-4.705932140350342,-5.302714705467224,-3.4017410278320312,-3.5462379455566406
23,published_jlens,1076.6448974609375,0.025635675520901055,0.9996717572212219,4,-16.008614540100098,-14.279752731323242,1.493861198425293,-0.5256738662719727,-2.447479248046875,-3.089569091796875
24,published_jlens,1238.0738525390625,0.029010319358268446,0.999599277973175,4,-22.798587799072266,-16.910232543945312,-7.291873931884766,-6.1491851806640625,-1.8696517944335938,-2.0879135131835938
25,published_jlens,1321.4632568359375,0.02967374617866565,0.999578058719635,5,-16.57889175415039,-12.410238265991211,-5.049140930175781,-4.130487442016602,-0.8974075317382812,-1.0675888061523438
26,published_jlens,1952.548828125,0.04089158340319677,0.9992277026176453,4,-22.75194787979126,-12.751993179321289,-11.652870655059814,-6.058845520019531,-1.8686294555664062,-0.9901466369628906
27,published_jlens,2232.421875,0.0427368994577611,0.999142587184906,3,-24.475353717803955,-13.75220012664795,-14.87627649307251,-7.426260948181152,-2.2747802734375,-1.2687873840332031
28,published_jlens,2453.68701171875,0.04310944126215298,0.9991198182106018,4,-19.66372013092041,-10.455286026000977,-12.911803245544434,-6.545080184936523,-1.9059791564941406,-1.2266769409179688
29,published_jlens,2549.44482421875,0.04269232097618201,0.999131977558136,3,-17.062369346618652,-9.100948333740234,-9.824921607971191,-4.83363151550293,-1.3417472839355469,-0.7846946716308594
30,published_jlens,2851.20751953125,0.05019029820393317,0.9988411664962769,3,-14.582740783691406,-6.4899091720581055,-9.214157104492188,-4.629815101623535,-1.7274322509765625,-1.0885505676269531
31,published_jlens,3073.60205078125,0.052535992873434766,0.998664140701294,5,-13.521774291992188,-5.953985214233398,-8.57618522644043,-4.586881637573242,-1.6018447875976562,-0.7867584228515625
32,published_jlens,3263.85595703125,0.053628374273233706,0.9986476898193359,4,-9.284427642822266,-3.3651676177978516,-5.573177337646484,-2.8210763931274414,-1.6283397674560547,-1.0830001831054688
33,identity_final,3423.783203125,0.07497218551022257,0.9971941709518433,4,-9.727373123168945,-3.0370664596557617,-5.702974319458008,-3.1982297897338867,-2.5662975311279297,-1.8907527923583984
