position,prompt_token,directly_edited_position,layer,top5_token_overlap,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine
16,spinning,True,22,3,9042.205078125,0.23243492075860311,0.9729043245315552
16,spinning,True,23,2,9859.810546875,0.24816468007686474,0.9696400761604309
16,spinning,True,24,2,11117.8125,0.2768847681273933,0.9639694094657898
16,spinning,True,25,2,12760.970703125,0.2982886886078908,0.9615175724029541
16,spinning,True,26,2,14547.6826171875,0.3188239192327899,0.9620510935783386
16,spinning,True,27,3,15624.97265625,0.3095969095363213,0.960848867893219
16,spinning,True,28,2,17775.681640625,0.3118481013144006,0.9634037017822266
16,spinning,True,29,1,19607.865234375,0.3325941819232805,0.9595644474029541
16,spinning,True,30,1,22362.83203125,0.4125409045225696,0.9473443031311035
16,spinning,True,31,2,22879.376953125,0.3949531261579215,0.949305534362793
16,spinning,True,32,2,22847.712890625,0.37306502100901306,0.9475233554840088
16,spinning,True,33,2,22736.583984375,0.5862691281937232,0.8495035767555237
17, animal,False,22,4,1013.0419921875,0.02478370062934313,0.9996923804283142
17, animal,False,23,4,1076.6448974609375,0.025635675520901055,0.9996717572212219
17, animal,False,24,4,1238.0738525390625,0.029010319358268446,0.999599277973175
17, animal,False,25,5,1321.4632568359375,0.02967374617866565,0.999578058719635
17, animal,False,26,4,1952.548828125,0.04089158340319677,0.9992277026176453
17, animal,False,27,3,2232.421875,0.0427368994577611,0.999142587184906
17, animal,False,28,4,2453.68701171875,0.04310944126215298,0.9991198182106018
17, animal,False,29,3,2549.44482421875,0.04269232097618201,0.999131977558136
17, animal,False,30,3,2851.20751953125,0.05019029820393317,0.9988411664962769
17, animal,False,31,5,3073.60205078125,0.052535992873434766,0.998664140701294
17, animal,False,32,4,3263.85595703125,0.053628374273233706,0.9986476898193359
17, animal,False,33,4,3423.783203125,0.07497218551022257,0.9971941709518433
18, have,False,22,1,1362.838623046875,0.04111598479369394,0.9991613626480103
18, have,False,23,1,1444.1453857421875,0.0447962753116448,0.9989957213401794
18, have,False,24,3,1582.7271728515625,0.048006987247486164,0.9988464117050171
18, have,False,25,5,1799.2559814453125,0.05118596871719682,0.9986883997917175
18, have,False,26,4,1958.59814453125,0.05044581920898839,0.9987266659736633
18, have,False,27,4,2078.234619140625,0.047480507691570396,0.9988725781440735
18, have,False,28,5,2376.123291015625,0.04530219126927077,0.99908447265625
18, have,False,29,4,2477.0771484375,0.04500563908533759,0.9990876317024231
18, have,False,30,4,2961.153076171875,0.0570607832625658,0.9988114833831787
18, have,False,31,5,3084.9453125,0.058679096568412706,0.9987049698829651
18, have,False,32,3,3192.57275390625,0.05734150131290018,0.9987380504608154
18, have,False,33,4,3123.357421875,0.060999560953634645,0.9982630610466003
19,?,False,22,1,2721.85302734375,0.0702946492406896,0.9982092380523682
19,?,False,23,3,2980.225341796875,0.07976362190084395,0.9972965121269226
19,?,False,24,2,3423.21728515625,0.09048375942285737,0.99637770652771
19,?,False,25,3,4177.05517578125,0.10202421720771511,0.9954479336738586
19,?,False,26,3,5015.17822265625,0.11469601463737286,0.99420166015625
19,?,False,27,2,5950.50439453125,0.121629454205346,0.9935222268104553
19,?,False,28,2,6925.427734375,0.12537305337437973,0.9932718276977539
19,?,False,29,2,7465.35888671875,0.13105319761794507,0.9918668866157532
19,?,False,30,2,9571.1796875,0.16189834445198872,0.9901559352874756
19,?,False,31,3,10209.474609375,0.16143469796700258,0.990929365158081
19,?,False,32,2,12002.7861328125,0.1598102013047513,0.9927023649215698
19,?,False,33,1,15026.0244140625,0.17114206269786283,0.9944383502006531
20,<end_of_turn>,False,22,5,360.716552734375,0.010746975125414534,0.9999420642852783
20,<end_of_turn>,False,23,4,505.41357421875,0.01476936893436616,0.9999184012413025
20,<end_of_turn>,False,24,5,583.4526977539062,0.016719167240710785,0.9998856782913208
20,<end_of_turn>,False,25,5,711.8294067382812,0.01865324525480753,0.9998454451560974
20,<end_of_turn>,False,26,5,886.1964111328125,0.02066083529081875,0.9997978210449219
20,<end_of_turn>,False,27,5,1094.1380615234375,0.023170538103712432,0.9997403025627136
20,<end_of_turn>,False,28,5,1393.1983642578125,0.024367311402404848,0.9997093677520752
20,<end_of_turn>,False,29,4,1691.1942138671875,0.02880458229582808,0.9995901584625244
20,<end_of_turn>,False,30,4,2437.4345703125,0.045079045772353374,0.9990510940551758
20,<end_of_turn>,False,31,5,2657.60693359375,0.04950249023188807,0.9987912178039551
20,<end_of_turn>,False,32,3,3517.45849609375,0.06427074879146541,0.9979327917098999
20,<end_of_turn>,False,33,3,4980.2978515625,0.14673515731584452,0.9903070330619812
21,"
",True,22,0,3707.36083984375,0.13194816872154078,0.9918180704116821
21,"
",True,23,1,4001.443359375,0.14541645580132262,0.9894705414772034
21,"
",True,24,3,4807.59619140625,0.17921243526409394,0.9843384623527527
21,"
",True,25,1,5830.8798828125,0.19804786155299786,0.9815783500671387
21,"
",True,26,2,6991.3232421875,0.23063273472230061,0.9752873778343201
21,"
",True,27,1,8295.4580078125,0.24107189176702165,0.9715985655784607
21,"
",True,28,1,10211.091796875,0.24355787962124062,0.9700530171394348
21,"
",True,29,1,11888.0361328125,0.2709035255926949,0.9626108407974243
21,"
",True,30,0,14289.03515625,0.30243306960645183,0.9538553357124329
21,"
",True,31,1,14404.1650390625,0.2775873960392753,0.9607037305831909
21,"
",True,32,0,15205.607421875,0.2862117079711359,0.9582474231719971
21,"
",True,33,0,16262.109375,0.4957826144896283,0.8705428838729858
