condition,phase,method,target_name,target_surface,target_token_id,target_tier,ant_L7,spider_L7,ant_L22,spider_L22,p_six,p_eight,p_four,log_p_six_minus_log_p_eight,output_kl_from_clean,top_token,top_token_id,causal_flip,strong_reproduction,semantic_coherence,all_coordinate_signs_valid,total_residual_delta_norm,total_normalized_residual_delta_norm,L7_P16_delta_norm,L22_P16_delta_norm,L22_P21_delta_norm,L7_P16_sae_cosine,L22_P16_sae_cosine,L22_P21_sae_cosine
hook_transport_L7_P16,hook_transport_validation,additive,ants, ants,63272,ant,0.0,0.0,0.0,0.0,2.144302925444208e-05,0.9998890161514282,2.7533395041245967e-05,-10.7499999518817,0.000658421020489186, Eight,38923,False,False,True,True,1769.1512451171875,0.18935204018386562,1769.1512451171875,0.0,0.0,0.022132985293865204,0.0,0.0
hook_transport_L22_P16,hook_transport_validation,additive,ants, ants,63272,ant,0.0,0.0,0.0,0.0,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,5.688890691857296e-09, Eight,38923,False,False,True,True,7956.0126953125,0.16772953579746416,0.0,7956.0126953125,0.0,0.0,0.031329043209552765,0.0
hook_transport_L22_P21,hook_transport_validation,additive,ants, ants,63272,ant,0.0,0.0,0.0,0.0,1.754756908667332e-06,0.9968248605728149,0.003172675147652626,-13.250000033342289,0.013498819433152676, Eight,38923,False,False,True,True,5929.82177734375,0.12501315573082988,0.0,0.0,5929.82177734375,0.0,0.0,0.0883404016494751
primary_grid_ants_a0_s0,primary_grid,additive,ants, ants,63272,ant,0.0,0.0,0.0,0.0,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,0.0, Eight,38923,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_grid_ants_a0_s0.03125,primary_grid,additive,ants, ants,63272,ant,0.0,0.03125,0.0,0.03125,4.139516462942083e-08,0.9998981952667236,9.610186680220068e-05,-16.999999949411443,0.00013139063958078623, Eight,38923,False,False,True,True,2116.7901177640283,0.05413174989367014,291.9834899902344,1481.8311767578125,1483.1461181640625,0.0037068859674036503,0.015526523813605309,0.08842331171035767
primary_grid_ants_a0_s0.0625,primary_grid,additive,ants, ants,63272,ant,0.0,0.0625,0.0,0.0625,0.00018051608640234917,0.887194812297821,0.0028237467631697655,-8.499999972581906,2.0595524311065674, Eight,38923,False,False,False,True,4233.337347152252,0.10825373943708186,583.8737182617188,2964.56640625,2965.060302734375,0.003744368674233556,0.01567254215478897,0.08809606730937958
primary_grid_ants_a0_s0.125,primary_grid,additive,ants, ants,63272,ant,0.0,0.125,0.0,0.125,3.925676139715506e-07,0.9994431138038635,0.0005527763860300183,-14.750000008349325,0.001411450793966651, Eight,38923,False,False,True,True,8464.89776574022,0.21648444826258004,1167.879638671875,5927.08984375,5929.60009765625,0.00385106448084116,0.015556316822767258,0.09089231491088867
primary_grid_ants_a0_s0.25,primary_grid,additive,ants, ants,63272,ant,0.0,0.25,0.0,0.25,2.817226913975901e-06,0.970680832862854,0.029312020167708397,-12.749999956527367,0.19012948870658875, Eight,38923,False,False,False,True,16927.39753434684,0.4329264541412217,2335.746337890625,11851.6650390625,11858.29296875,0.003829285269603133,0.015555259771645069,0.08828084170818329
primary_grid_ants_a0_s0.5,primary_grid,additive,ants, ants,63272,ant,0.0,0.5,0.0,0.5,2.4906854378059506e-05,0.9045048952102661,0.09533411264419556,-10.499999954048645,0.7356247901916504, Eight,38923,False,False,False,True,33866.73657435039,0.8660698668061573,4671.6513671875,23718.541015625,23718.396484375,0.0037288516759872437,0.01551924180239439,0.0882735624909401
primary_grid_ants_a0_s1,primary_grid,additive,ants, ants,63272,ant,0.0,1.0,0.0,1.0,5.386632983572781e-05,0.43648338317871094,0.5604557394981384,-8.999999980868346,5.527212619781494, Four,13038,False,False,False,True,67733.97555923686,1.7320817084211715,9342.1787109375,47412.59765625,47462.203125,0.0037053818814456463,0.015594309195876122,0.08821355551481247
primary_grid_ants_a0.03125_s0,primary_grid,additive,ants, ants,63272,ant,0.03125,0.0,0.03125,0.0,1.855388234162092e-07,0.9999982118606567,8.315272452819045e-07,-15.499999898002795,1.4568568985851016e-05, Eight,38923,False,False,True,True,1510.6757730625554,0.044178913874538296,291.7868347167969,1482.2286376953125,0.0,0.03003043308854103,0.02649088390171528,0.0
primary_grid_ants_a0.03125_s0.03125,primary_grid,additive,ants, ants,63272,ant,0.03125,0.03125,0.03125,0.03125,2.256444076920161e-06,0.9982811212539673,9.59464450716041e-05,-13.000000043379847,0.02276550605893135, Eight,38923,False,False,True,True,2519.8809479941615,0.07053637968001182,442.209228515625,1989.39892578125,1482.0738525390625,0.02228851616382599,0.03165159374475479,0.0883568599820137
