scope,tested_layers,spider_feature_ids,spider_positions,ant_feature_ids,ant_positions,spider_suppression,ant_factor,overdrive,control,success,spider_targets,ant_targets,operation_delta_norms,total_delta_norm,top_token,top_probability,p_six,p_eight,p_four,log_p_six_minus_log_p_eight,other_top_tokens
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,0.0,False,unmodified,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[0.0, 0.0]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 0.0, 0.0]",4.315837287515549e-05, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253320053583593e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051998619204255e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905200772815533e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 2.789419251136849e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.789419251136849e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 2.789419251136849e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789419251136849e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,0.25,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[455.77888107299805, 90.10985374450684]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 455.7789306640625, 90.10985565185547]",464.6011404666118, Eight,0.9999775886535645,1.444947912432326e-07,0.9999775886535645,2.1444928279379383e-05,-15.749999965205687,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999775886535645}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444928279379383e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.315100785694085e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.444947912432326e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602670771764906e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.0611072848453205e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 9.735982020586675e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5816677401712127e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.5816677401712127e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816677401712127e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816677401712127e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789405650904797e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,0.5,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[911.5577621459961, 180.21970748901367]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 911.557861328125, 180.21971130371094]",929.2022809332207, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253320053583593e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.250130998720067e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.58242746368154e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 2.789419251136849e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.789419251136849e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 2.789419251136849e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789419251136849e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,0.75,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[1367.3366432189941, 270.3295612335205]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 1367.3369140625, 270.3295593261719]",1393.8035396724479, Eight,0.9999861717224121,1.1253361975605003e-07,0.9999861717224121,1.3007117559027392e-05,-15.999999989297198,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999861717224121}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.3007117559027392e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475862619481632e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253361975605003e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.363402084095469e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.250135550634468e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905222422164513e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.7894295206998265e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 2.7894295206998265e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.7894295206998265e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 2.7894295206998265e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.1724098908659784e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,1.0,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[1823.1155242919922, 360.43941497802734]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 1823.11572265625, 360.4394226074219]",1858.4045618664397, Eight,0.9999823570251465,1.4449548757511366e-07,0.9999823570251465,1.6701405911589973e-05,-15.749999914604915,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999823570251465}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701405911589973e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.315140576087288e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.4449548757511366e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602697417117497e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051996398758206e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582426353458516e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.581684671072338e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.581684671072338e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.581684671072338e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.581684671072338e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.7894189735810926e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,1.25,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[2278.8944053649902, 450.5492687225342]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 2278.894775390625, 450.54925537109375]",2323.00581764621, Eight,0.9999774694442749,1.8553497227458138e-07,0.9999774694442749,2.1444924641400576e-05,-15.499999912076776,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999774694442749}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444924641400576e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.315099648825708e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553497227458138e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602670327675696e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.0611070628007155e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582389160987191e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.5989520525147043e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.5989520525147043e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816671850597004e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.5816671850597004e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.5816671850597004e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,1.5,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[2734.6732864379883, 540.659122467041]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 2734.673828125, 540.6591186523438]",2787.6070793448944, Eight,0.9999774694442749,1.8553497227458138e-07,0.9999774694442749,2.1444924641400576e-05,-15.499999912076776,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999774694442749}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444924641400576e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.315099648825708e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553497227458138e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602670327675696e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.0611070628007155e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582389160987191e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.5989520525147043e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.5989520525147043e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816671850597004e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.5816671850597004e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.5816671850597004e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,2.0,True,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[3646.2310485839844, 720.8788299560547]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 3646.2314453125, 720.8788452148438]",3716.809123732879, Eight,0.9999825954437256,1.855359244018473e-07,0.9999825954437256,1.670140954956878e-05,-15.499999906397704,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999825954437256}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.670140954956878e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043389137426857e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.855359244018473e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.6026987493851266e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.605199972942728e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582428018793053e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.5816855037396067e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5816855037396067e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816855037396067e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.5816855037396067e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816855037396067e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.0,3.0,True,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938]","[5469.346572875977, 1081.318244934082]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 5469.34765625, 1081.3182373046875]",5575.214158689789, Eight,0.9999823570251465,1.8553588176928315e-07,0.9999823570251465,1.6701405911589973e-05,-15.499999897755618,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999823570251465}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701405911589973e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475838176811521e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553588176928315e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602697417117497e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.061117054807937e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582426353458516e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.598974534530953e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 4.598974534530953e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.598974534530953e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581684671072338e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.581684671072338e-10}]"
L22-L22,[22],"[23422, 23422, 60476]","[16, 21, 16]","[1703, 197021]","[16, 16]",0.2,0.0,False,spider_only,False,"[1484.716796875, 1391.216796875, 450.19487304687505]","[0.0, 0.0]","[371.17919921875, 347.80419921875, 112.54872131347656, 0.0, 0.0]",520.9692635810361, Eight,0.9999861717224121,1.4449602758759283e-07,0.9999861717224121,1.3007117559027392e-05,-15.749999992141905,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999861717224121}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.3007117559027392e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475862619481632e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.4449602758759283e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.363402084095469e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.605205746102456e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582455219257156e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.581698548860146e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.581698548860146e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.581698548860146e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.581698548860146e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.7894295206998265e-10}]"
