layer,feature,description,cosine_similarity,max_act_approx,threshold,active,peak_position,peak_token,peak_activation,peak_fraction_of_reference_max,nonzero_positions
0,22626,spiders,0.7004283801238008,169.5144,4.833080291748047,False,,,0.0,0.0,[]
0,26443,cellar spider,0.6248118801697964,174.4495,6.120410919189453,False,,,0.0,0.0,[]
0,175557,spiders,0.7004393452493073,57.6733,6.740352630615234,False,,,0.0,0.0,[]
0,220975,"spider, crawler",0.635608059634913,100.784,7.045536041259766,False,,,0.0,0.0,[]
0,228917,spiders and pests,0.6394013376493919,50.8501,5.587436676025391,False,,,0.0,0.0,[]
0,231233,arachnid or spider family,0.7452446510339689,58.7052,10.966514587402344,False,,,0.0,0.0,[]
1,41569,spiders,0.7004283801238008,38.7699,2.632537841796875,False,,,0.0,0.0,[]
1,83573,spiders and their characteristics,0.647349027713945,36.1976,3.623414993286133,False,,,0.0,0.0,[]
1,121552,"spider, web, walk",0.639784323276519,31.6082,3.430652618408203,False,,,0.0,0.0,[]
1,190521,spiders have,0.6677051679934637,39.4287,4.613086700439453,False,,,0.0,0.0,[]
2,68436,spider silk,0.6420243673127289,48.1292,4.611499786376953,False,,,0.0,0.0,[]
2,137493,spider silk,0.642407371995501,35.1756,4.8125762939453125,False,,,0.0,0.0,[]
2,143533,spiders,0.7004393452493073,53.7341,5.36627197265625,False,,,0.0,0.0,[]
2,158667,spider or Spider-Man,0.6173283009747509,34.0909,5.211963653564453,False,,,0.0,0.0,[]
2,208224,spider silk,0.6420243673127289,38.115,6.4313507080078125,False,,,0.0,0.0,[]
3,140480,spider silk,0.642407371995501,25.4365,6.152107238769531,False,,,0.0,0.0,[]
3,148573,spider silk,0.6424683953026674,35.4918,6.950096130371094,False,,,0.0,0.0,[]
3,250491,spider web like,0.6060010695564587,54.4217,9.214920043945312,True,14, web,15.047507286071777,0.2764982954606669,[14]
3,251990,spider silk,0.6420358901006493,26.3765,15.091072082519531,False,,,0.0,0.0,[]
4,100539,spiders,0.7004283801238008,97.9558,7.155956268310547,False,,,0.0,0.0,[]
5,106263,spider,0.7525899140448022,57.5131,12.459152221679688,False,,,0.0,0.0,[]
6,85923,"spider, plum, recluse, doodle",0.5997254421823549,64.9073,11.38446044921875,False,,,0.0,0.0,[]
6,92014,spiders,0.7018595496157055,135.5067,12.140007019042969,True,16,spinning,14.867843627929688,0.10972035794488161,[16]
6,138199,spiders and scorpions,0.6577052714969321,71.0176,14.513542175292969,False,,,0.0,0.0,[]
7,14209,spider silk or webbing,0.6478595246435028,154.2984,13.859237670898438,True,16,spinning,84.83981323242188,0.5498424690886093,"[14, 15, 16]"
7,103571,spiders and arachnids,0.7249850170678291,130.9159,12.012649536132812,False,,,0.0,0.0,[]
7,134144,ants and spiders,0.6261597226322411,109.4,16.542556762695312,False,,,0.0,0.0,[]
7,137239,all things spider,0.6755758837040488,187.8817,15.177665710449219,True,16,spinning,133.324951171875,0.709621805486511,"[14, 16]"
8,126959,spinning webs,0.6085669866547554,171.5814,19.447555541992188,True,16,spinning,89.26734924316406,0.520262389997774,"[14, 16]"
8,134926,"arachnid, phobia, sexual attraction",0.631771319440374,170.3954,25.383056640625,False,,,0.0,0.0,[]
8,163744,spider words,0.6150106483591508,149.1361,16.482986450195312,False,,,0.0,0.0,[]
9,88969,spiders and arachnids,0.7249850170678291,155.705,38.32843017578125,False,,,0.0,0.0,[]
9,119463,spider web,0.6621182577686981,264.1547,18.000228881835938,True,14, web,104.83756256103516,0.39687941407453725,"[14, 16]"
9,135624,spiders,0.7004283801238008,194.7671,18.10614013671875,False,,,0.0,0.0,[]
9,237228,spider silk and webs,0.6557221527422131,137.8292,66.42913818359375,True,1,<start_of_turn>,136.07571411132812,0.9872778345323643,"[1, 16]"
9,243053,spiders,0.7018595496157055,66.8751,58.903472900390625,True,1,<start_of_turn>,110.20645904541016,1.6479445869301153,[1]
11,213385,spider bites,0.605966207608517,600.7505,37.520111083984375,False,,,0.0,0.0,[]
14,15345,spiders and ticks,0.6481604873019923,226.06,85.0184326171875,False,,,0.0,0.0,[]
15,119386,spiders and insects,0.6637530945817168,239.9865,38.451141357421875,False,,,0.0,0.0,[]
16,53522,spider phobia,0.6424877843493424,162.1803,57.466888427734375,False,,,0.0,0.0,[]
22,23422,spider and spiders,0.7035373088292348,2888.53,85.48406982421875,True,16,spinning,1855.89599609375,0.6425053560439912,"[13, 14, 15, 16, 17, 19, 21, 22, 24, 26]"
22,60476,spider and webs,0.6945146614844838,1082.1075,104.35870361328125,True,16,spinning,562.7435913085938,0.5200440726162546,"[16, 21]"
23,56900,spiders,0.7004512042709149,1072.0922,126.85491943359375,True,21,"
",719.163330078125,0.6708036212539602,"[13, 16, 21, 22, 24]"
23,186160,arachnids,0.6764186489732545,825.9268,129.9317626953125,False,,,0.0,0.0,[]
23,208890,spider,0.7525751798204511,743.1034,155.635986328125,True,16,spinning,287.2376708984375,0.38653795810709185,[16]
24,105000,spider,0.7525751798204511,1808.0106,128.4949951171875,True,16,spinning,434.39544677734375,0.24026155973717395,[16]
24,184534,spiders webs,0.6445177799202367,871.0704,158.1204833984375,True,21,"
",608.1962890625,0.6982171464700213,"[16, 17, 21, 24]"
24,204492,arachnids,0.6764186489732545,1372.7646,152.3453369140625,False,,,0.0,0.0,[]
25,109731,spider,0.7525751798204511,1097.6428,161.799072265625,True,16,spinning,620.8114013671875,0.5655860006253286,"[16, 17, 21, 24]"
25,148456,spider,0.7525751798204511,1567.3538,125.043212890625,True,16,spinning,134.636962890625,0.08590081122119651,[16]
25,169121,spiders,0.7004393452493073,1088.2772,143.547119140625,True,16,spinning,537.923095703125,0.4942886754432832,"[16, 21]"
26,74907,arthropods and arachnids,0.6611013019710467,1845.3729,137.8802490234375,False,,,0.0,0.0,[]
26,116534,spiders,0.7004393452493073,1120.1951,161.061767578125,False,,,0.0,0.0,[]
26,145491,spiders,0.7004393452493073,1588.4531,162.29150390625,True,16,spinning,916.8988647460938,0.5772275333442919,"[13, 16, 17, 21, 24, 26]"
26,179078,spider,0.7525751798204511,2001.3551,145.86865234375,True,16,spinning,368.8420104980469,0.1842961354024815,[16]
26,182818,arachnid,0.7669934349468416,2109.1865,309.0595703125,False,,,0.0,0.0,[]
26,233390,spider webs,0.6083032095751564,1192.425,181.6533203125,True,21,"
",603.0096435546875,0.5057002692451832,"[16, 17, 21, 24]"
27,129426,spiders,0.7004393452493073,1603.1549,150.7977294921875,True,16,spinning,704.150634765625,0.43922807132712194,"[16, 21]"
27,142703,insects and spiders,0.6189801883766016,1896.1284,168.0052490234375,True,21,"
",199.94577026367188,0.10544948868635261,[21]
27,144881,spider,0.7525751798204511,1178.7555,196.2489013671875,True,21,"
",952.3358764648438,0.8079163799997912,"[14, 15, 16, 17, 21, 22]"
27,179924,spider,0.7526159709499968,1580.4541,179.2640380859375,False,,,0.0,0.0,[]
27,183832,spider,0.7526159709499968,1890.5493,143.6077880859375,True,16,spinning,455.1080017089844,0.240727920562021,[16]
27,245223,arachnid,0.7669708401905347,2527.8625,216.3890380859375,False,,,0.0,0.0,[]
28,46679,insects and spiders,0.6188757543579688,1918.7865,161.294189453125,False,,,0.0,0.0,[]
28,73442,spider,0.7525751798204511,2470.9897,162.9781494140625,True,21,"
",164.94818115234375,0.06675389264161795,[21]
28,98736,arachnids,0.6764186489732545,3271.6125,199.7320556640625,False,,,0.0,0.0,[]
28,103087,spider,0.7525751798204511,2779.8357,173.5218505859375,True,16,spinning,381.48284912109375,0.13723215696564145,[16]
29,33365,spiders and webs,0.6614202248455517,2335.0947,137.28369140625,True,16,spinning,1173.1798095703125,0.5024120904262737,"[16, 17, 21, 24, 26]"
29,123886,spiders,0.7005773210496515,2242.1145,159.4990234375,False,,,0.0,0.0,[]
29,153266,spiders,0.7004393452493073,2788.5098,136.2686767578125,False,,,0.0,0.0,[]
29,184009,spiders,0.7004512042709149,3570.3638,145.0506591796875,True,21,"
",634.6365966796875,0.17775124111433335,"[13, 16, 21]"
29,201291,spiders,0.7004393452493073,2718.6157,132.188720703125,False,,,0.0,0.0,[]
29,246079,spider parts,0.6395653783248301,2671.7852,143.238037109375,True,22,<start_of_turn>,403.26318359375,0.15093398361281066,[22]
29,247483,spiders,0.7004393452493073,2911.5339,153.7618408203125,False,,,0.0,0.0,[]
29,248793,arachnid,0.7684307788848684,2767.9956,166.8758544921875,True,21,"
",270.4697265625,0.09771320682825507,"[16, 21]"
30,82015,spider,0.7525184766935289,3413.3708,170.695556640625,True,16,spinning,519.9532470703125,0.15232838081063813,"[15, 16]"
30,97069,spiders,0.7018595496157055,3750.7356,213.3916015625,True,16,spinning,1008.8772583007812,0.26898117220013623,"[16, 21]"
30,132019,spiders,0.7006057291102533,1873.115,193.919677734375,True,16,spinning,1122.924560546875,0.5994957920612856,"[12, 16, 17, 21, 24, 26]"
